player_name,Overall_Strike_Rate
J Louw,328.5714286
Joginder Sharma,250.0
G Chapple,200.0
SE Aley,187.5
SC Kuggeleijn,183.3333333
IECM Wong,166.6666667
RT Lyons,166.6666667
Mohammad Hasnain,155.8823529
AE Smith,150.0
Tanvir Ahmed,150.0
J Fraser-McGurk,147.4576271
RL Bhudia,146.6666667
J Overton,145.4545455
SKW Kelly,140.0
CK Hooper,133.3333333
TW Hartley,133.3333333
PJC Hoffmann,130.4347826
AD Russell,128.447205
RK Singh,127.9069767
Haider Ali,127.2727273
Usama Mir,126.6666667
Naumanullah,125.0
Tayyab Tahir,123.9130435
AA Jangoo,122.3529412
RM Patidar,122.2222222
SDNS Karunaratne,121.4285714
R MacDonald-Gay,121.4285714
GJ Maxwell,120.5872649
DES Maxwell,120.0
CR Foggo,120.0
PD McGlashan,118.8679245
AJ Tye,118.75
Asif Ali,118.29653
TL Seifert,117.8571429
DSK Madushanka,116.6666667
GA Manou,116.6666667
AJ Turner,116.3636364
WA Agar,116.2790698
Bilawal Bhatti,115.5844156
H Klaasen,115.008726
JC Buttler,114.8283753
AAP Atkinson,114.5454545
JD Campbell,113.7614679
Sharjeel Khan,113.7283237
J Sumerauer,113.5135135
JM Davison,112.7226463
L Ronchi,112.5705077
SG Borthwick,112.5
PD Salt,112.4675325
C Zhuwao,112.4087591
MA Leask,111.3384484
AGS Gous,110.5633803
SE Rutherford,110.4444444
YK Pathan,110.0543478
TS Nethula,109.0909091
TP Visee,109.0909091
DS Weerakkody,108.9552239
Imad Wasim,108.9534884
Arshdeep Singh,108.8235294
PP Shaw,108.6206897
KNM Fernando,108.0808081
HH Pandya,107.7017115
Naseem Khushi,107.4626866
KW Richardson,107.1428571
AR Adams,107.1428571
CL Tryon,107.1428571
SR Hain,106.0
JM Kerr,105.9360731
SO Hetmyer,105.6179775
Jaker Ali,105.6074766
HC Brook,105.4927302
G Voll,105.4878049
SC Taylor,105.4794521
L Klusener,104.4871795
L Jack,103.6697248
C Munro,103.4797017
ME Bouchier,103.4334764
DO Leicher,103.2258065
RR Pant,102.9550827
JJ Roy,102.9397473
SA Yadav,102.9294274
MS Chapman,102.8571429
PWH de Silva,102.7511962
TB Sole,102.7027027
S Meghana,102.7027027
PBB Rajapaksa,102.2988506
AC Gilchrist,102.2300469
TM Head,102.202473
SM Davies,102.0920502
V Sehwag,101.9340974
TG Norris,101.7241379
Tanzid Hasan,101.1111111
KM Jadhav,100.841622
A Gardner,100.5993151
DA Miller,100.5629363
RTM Mendis,100.0
K Kamyuka,100.0
L Wood,100.0
BP Nash,100.0
HL Baker,100.0
MK Villiers,100.0
L Cheatle,100.0
Zafar Gohar,100.0
GJ McCarter,100.0
Pankaj Singh,100.0
A van der Merwe,100.0
Utkarsh Srivastava,100.0
JM Bairstow,99.70124932
Ishan Kishan,99.5505618
AB de Villiers,99.44139966
ARI Umeed,99.28057554
Ali Naseer,99.2481203
JP Inglis,99.23809524
KH Pandya,99.23664122
Shubman Gill,99.0216929
MW Short,98.98477157
Wasim Akram,98.61111111
KJJ van Noortwijk,98.6013986
BM Duckett,98.17671809
WG Jacks,98.11320755
JDS Neesham,98.04941482
SS Iyer,98.03600655
TB Robinson,97.95918367
AR Nurse,97.84482759
Agha Salman,97.6993865
TS Roland-Jones,97.36842105
JA Morkel,96.9738652
SV Samson,96.77419355
BAM Heath,96.72131148
PJ Scholfield,96.72131148
DJ Mitchell,96.5929468
S Nitschke,96.42857143
F Behardien,96.40933573
PSP Handscomb,96.34146341
MJ Cosgrove,96.2962963
DJG Sammy,96.20976116
I Udana,96.18644068
JD Ryder,95.98145286
LK Ebsary,95.83333333
Z Crawley,95.67307692
N Pooran,95.60899111
T de Zorzi,95.4887218
BA Langston,95.45454545
Soumya Sarkar,95.29137529
Yasir Ali Chowdhury,95.28301887
LR Naylor,95.23809524
AJ Healy,95.2364515
A Johnson,95.2173913
GJ Delany,95.1754386
DA Warner,94.96702036
Q de Kock,94.83200456
GD Phillips,94.79305741
BJ Bennett,94.66666667
LE Bosman,94.65408805
BB McCullum,94.50247389
Mehran Khan,94.28571429
DJ Malan,94.28191489
MM Ali,94.21009098
D Langford-Smith,94.04761905
T Stubbs,93.96551724
AD Hales,93.83809907
NJ Carey,93.79310345
AA Mulla,93.75
SW Ambris,93.66336634
MR Marsh,93.53200135
Khushdil Shah,93.45794393
FC Wilson,93.42403628
Muhammad Jawadullah,93.33333333
MG Johnson,93.21357285
Kabir Ali,93.10344828
KJ O'Brien,92.51510925
T Banton,92.4137931
RR Rossouw,92.39373602
JR Hopes,92.33983287
Fakhar Zaman,92.28701962
GT Main,92.13483146
ST Jayasuriya,92.13059858
Mohammad Wasim,91.95402299
MP Stoinis,91.80024661
V Kohli,91.70381212
U Bhatti,91.60305344
S Prasanna,91.52173913
FH Allen,91.36577708
AC Cummins,91.30434783
JP Behrendorff,91.30434783
AT Nidamanuru,91.29321383
STR Binny,91.26984127
TK Curran,91.26506024
N Dickwella,91.24004551
C Jonker,91.17647059
MDKJ Perera,91.17037037
Nurul Hasan,91.16022099
MJ Henry,91.15646259
Abid Ali,91.05058366
S Nisansala,90.90909091
SK Raina,90.85732878
DN Wyatt,90.76175041
SA Edwards,90.6570223
KA Pollard,90.64998262
S Samarawickrama,90.625
JL Smith,90.47619048
RG Sharma,90.35817348
SMSM Senanayake,90.34267913
Sabbir Rahman,90.25089606
RM Ghosh,90.19607843
M van Lingen,90.15256588
SR Watson,90.04874769
AR Patel,90.01584786
R Slater,90.0
CMA Shillington,89.94974874
SR Thompson,89.8989899
SW Billings,89.84375
P Mustard,89.75409836
EJG Morgan,89.5197631
Pratika Rawal,89.51612903
S Dhawan,89.48697501
MK Pandey,89.42307692
MO Odumbe,89.25619835
MM Lanning,89.20953576
PW Borren,89.20086393
S Dhaniram,88.92405063
SP Terry,88.88888889
H Patel,88.88888889
Kashif Daud,88.67924528
A Flintoff,88.58833474
CW Perchard,88.57142857
TT Bresnan,88.51626016
BJ Hodge,88.5077187
MV Boucher,88.38230328
RD Rickelton,88.2629108
B Sai Sudharsan,88.19444444
JO Holder,88.19415878
DR Smith,88.18181818
S Lamichhane,88.0
S Mandhana,87.99600699
Sohag Gazi,87.92270531
Imran Nazir,87.91390728
AK Sah,87.67123288
Nasum Ahmed,87.64044944
AT Carey,87.63845813
MD Shanaka,87.54745634
SFM Devine,87.53913588
CK Coventry,87.51696065
Zulfiqar Babar,87.5
TK Musakanda,87.5
DJ Hussey,87.44769874
Mohammad Rizwan,87.36434109
Mohammad Nawaz (3),87.33031674
RV Uthappa,87.28971963
T Bavuma,87.26042841
DT Christian,87.22044728
K Verreynne,87.17948718
C Kieswetter,87.16814159
RN ten Doeschate,87.09677419
GF Linde,87.09677419
MR Johnson,86.95652174
DP Conway,86.95035461
Kushal Malla,86.89655172
Babar Azam,86.88776294
Afif Hossain,86.84627575
R Powell,86.81214421
KIC Asalanka,86.60287081
F du Plessis,86.59351145
Abdul Razzaq,86.53774637
CH Gayle,86.53483992
JM Vince,86.51026393
HM Amla,86.48708324
D Cleaver,86.48648649
N M'shangwe,86.36363636
KL Rahul,86.36221458
K Weeraratne,86.33093525
V Krishnamurthy,86.31578947
MM English,86.29032258
P Vastrakar,86.28912072
Saud Shakeel,86.2804878
SW Tait,86.20689655
Moin Khan,86.16352201
WA Young,86.16314199
CD Wallace,86.12040134
TA Blundell,86.08414239
LMM Tahuhu,86.07594937
CR Brathwaite,85.97063622
SS Tiwary,85.96491228
Waseem Muhammad,85.87223587
Shoriful Islam,85.8490566
E Lewis,85.75935106
TL Chivanga,85.71428571
GI Maiden,85.71428571
Sarfraz Ahmed,85.63411897
TM Dilshan,85.47833349
Towhid Hridoy,85.47297297
SJ Taylor,85.45548654
Yuvraj Singh,85.45477168
SPD Smith,85.38236652
Mohammad Aadil Alam,85.36585366
PR Stirling,85.3490156
M Kapp,85.30897785
Shayan Jahangir,85.24871355
MJ Guptill,85.24766691
HG Munsey,85.15505846
HE van der Dussen,85.10334996
R Ashwin,85.07821901
Haris Sohail,85.02487562
BKG Mendis,85.0055371
MS Dhoni,84.97932175
WIA Fernando,84.93647913
HH Gibbs,84.9345963
SI Mahmood,84.84848485
Shahzaib Hasan,84.74576271
BL Mooney,84.71448468
HDJ Siegers,84.67741935
FY Fazal,84.61538462
PA Nixon,84.61538462
SV Bahutule,84.61538462
M Dillon,84.61538462
BN Cooper,84.57142857
AJ Finch,84.56397718
SR Tendulkar,84.55370054
MEK Hussey,84.43113772
CJ Jordan,84.40366972
LJ Wright,84.36754177
JL Jonassen,84.33544304
Liton Das,84.32055749
AM Hardie,84.27672956
CO Browne,84.21052632
KP Pietersen,84.20841683
P Nissanka,84.10780669
KE Bryce,84.07821229
HT Tector,83.99792853
G Gambhir,83.95415473
BJ McMullen,83.93194707
J Charles,83.91304348
H Carlyon,83.89261745
MD Gunathilaka,83.83359663
N Davin,83.80952381
EL Lamb,83.72093023
Umar Akmal,83.61831219
AE Jones,83.50806452
AC Voges,83.47280335
TWM Latham,83.39904545
CJ Ferguson,83.39622642
Mohammad Haris,83.33333333
A Patel,83.33333333
A Ashok,83.33333333
TSS Mackintosh,83.25123153
Karan KC,83.24225865
HDPK Dharmasena,83.22580645
SS Pathirana,83.20802005
S Molineux,83.11688312
AL Phehlukwayo,83.03212851
BA King,82.8680203
SR Mukkamalla,82.86713287
M Labuschagne,82.81690141
LV van Beek,82.78688525
J Botha,82.72980501
IA Karim,82.70042194
L Lee,82.6544021
L Sreekumar,82.60869565
C Viljoen,82.60869565
UT Khawaja,82.52010724
Ayesha Naseem,82.5
S Jora,82.35294118
JAD Lawrenson,82.3255814
JP Duminy,82.32542599
BJ Haddin,82.31907895
Shoaib Khan,82.24390244
RJ Peterson,82.2327044
Rashid Latif,82.10784314
HJ Armitage,82.10526316
RML Taylor,82.03125
GJ Bailey,81.99891068
MJ Hay,81.94444444
CT Mutombodzi,81.87919463
CJ Bowes,81.81818182
JF Mooney,81.769437
P Marange,81.69934641
A Hunter,81.68421053
LHD Dilhara,81.66666667
AN Petersen,81.63934426
Washington Sundar,81.60621762
G Kirsten,81.57894737
A Minny,81.53846154
KDK Vithanage,81.52173913
CA Lynn,81.52173913
Shaiman Anwar,81.49741824
AD Mathews,81.42486299
S Rana,81.4159292
RK Kleinveldt,81.39534884
JN Malan,81.39337298
CA Ingram,81.39037433
Kamran Akmal,81.38707765
A Rawat,81.38297872
Imam-ul-Haq,81.32875143
C Green,81.2987013
G Singh,81.21212121
C Hemraj,81.18811881
DJS Dottin,81.11111111
Mashrafe Mortaza,81.04412679
RH Priest,81.00490196
Asif Khan,80.99579243
GO Jones,80.97395243
A Athanaze,80.95238095
LRPL Taylor,80.93625498
Raza-ur-Rehman,80.93023256
JI Rodrigues,80.90839107
Nizakat Khan,80.89171975
HN Ya France,80.88737201
PJ Ingram,80.75313808
KJ Coetzer,80.67940552
MF Maharoof,80.62563068
RT Ponting,80.60753061
ME Trescothick,80.52419355
MS Wade,80.50314465
AC Agar,80.5
HM Tiffen,80.48780488
OA Shah,80.43810494
Abdullah Shafique,80.40638607
TH David,80.35714286
MJ Lumb,80.09708738
PA de Silva,80.08213552
MD Patel,80.03573024
BMAJ Mendis,80.02699055
AE Satterthwaite,80.01658375
Mosaddek Hossain,80.0
Nahid Rana,80.0
CR Pagydyala,80.0
H Graham,80.0
Nazmul Hossain Shanto,79.95881949
SP Narine,79.78021978
IR James,79.6875
BR McDermott,79.64285714
JWA Taylor,79.54751131
Shuvagata Hom,79.54545455
P Khadka,79.49526814
CL White,79.48122338
ML Hayden,79.47941889
SIR Dunkley,79.45619335
Adnan Mufti,79.4188862
KC Sangakkara,79.39046057
R Trumpelmann,79.36507937
M Levitt,79.35222672
Shafali Verma,79.21279213
IK Pathan,79.19896641
AM Peterson,79.14691943
LM Jongwe,79.14572864
RL Haynes,79.11468813
BCJ Cutting,79.10447761
MW Machan,79.07444668
SE Marsh,79.02350814
Mohammad Nawaz,78.99543379
HM Nicholls,78.98469578
N Vanua,78.95277207
SA Millanta,78.94736842
Mushfiqur Rahim,78.9450256
K Bhurtel,78.90520694
Yousuf Youhana,78.80434783
AJ Strauss,78.80388842
SMA Priyanjan,78.79924953
L Balaji,78.78787879
JG Bethell,78.77358491
DJ Bravo,78.72219053
NT Broom,78.68150685
ZE Green,78.66972477
D Ramdin,78.60394537
DPMD Jayawardene,78.57701329
B Evans,78.57142857
Simi Singh,78.52998066
N Koncharoenkai,78.43137255
MG Erasmus,78.42287695
KOA Powell,78.42149454
