player_name,total_runs,Strike_Rate
V Kohli,13784,91.7
KC Sangakkara,11618,79.39
RG Sharma,10646,90.36
MS Dhoni,10274,84.98
AB de Villiers,9435,99.44
TM Dilshan,9212,85.48
LRPL Taylor,8126,80.94
DPMD Jayawardene,8040,78.58
HM Amla,7834,86.49
Tamim Iqbal,7648,76.64
MJ Guptill,7125,85.25
Mushfiqur Rahim,7094,78.95
MJ Clarke,6988,76.83
RT Ponting,6979,80.61
EJG Morgan,6953,89.52
Yuvraj Singh,6868,85.45
S Dhawan,6733,89.49
Q de Kock,6661,94.83
DA Warner,6623,94.97
WU Tharanga,6482,73.28
CH Gayle,6433,86.53
SR Tendulkar,6432,84.55
Mohammad Hafeez,6351,76.09
V Sehwag,5692,101.93
Babar Azam,5659,86.89
AD Mathews,5646,81.42
SK Raina,5585,90.86
SPD Smith,5549,85.38
F du Plessis,5445,86.59
SR Watson,5357,90.05
IR Bell,5289,75.59
AJ Finch,5188,84.56
BB McCullum,5157,94.5
BRM Taylor,5130,74.04
Mahmudullah,5127,75.45
MEK Hussey,5076,84.43
JC Buttler,5018,114.83
SD Hope,4989,78.15
G Gambhir,4981,83.95
JP Duminy,4928,82.33
Younis Khan,4777,74.51
Misbah-ul-Haq,4752,72.56
DA Miller,4466,100.56
ST Jayasuriya,4402,92.13
AC Gilchrist,4355,102.23
JJ Roy,4237,102.94
MN Samuels,4205,74.37
KP Pietersen,4202,84.21
PD Collingwood,4132,75.17
TWM Latham,4019,83.4
L Wolvaardt,3992,71.21
H Masakadza,3955,70.05
ML Hayden,3939,79.48
TT Beaumont,3936,74.66
BKG Mendis,3838,85.01
S Chanderpaul,3804,67.87
HH Gibbs,3766,84.93
AJ Strauss,3729,78.8
RR Sarwan,3717,72.27
JM Bairstow,3671,99.7
LD Chandimal,3657,72.1
GJ Maxwell,3655,120.59
R Dravid,3650,71.11
MM Lanning,3555,89.21
S Mandhana,3526,88.0
Fakhar Zaman,3434,92.29
EA Perry,3356,78.23
PR Stirling,3338,85.35
E Chigumbura,3266,77.12
SW Bates,3245,75.85
AN Cook,3204,75.6
HDRL Thirimanne,3164,71.2
HC Knight,3158,75.1
MDKJ Perera,3077,91.17
Umar Akmal,3032,83.62
GJ Bailey,3011,82.0
DM Bravo,3007,67.2
BJ Haddin,3003,82.32
M Raj,2949,68.26
AM Rahane,2906,76.23
AE Satterthwaite,2895,80.02
Imam-ul-Haq,2840,81.33
T Taibu,2837,66.96
IJL Trott,2819,75.54
SFM Devine,2796,87.54
Mohammad Yousuf,2783,74.39
CR Ervine,2770,76.29
MR Marsh,2762,93.53
KL Rahul,2761,86.36
DJ Bravo,2760,78.72
AC Jayangani,2760,77.99
AJ Healy,2759,95.24
Kamran Akmal,2746,81.39
RS Bopara,2689,76.39
WTS Porterfield,2670,67.39
TM Head,2645,102.2
SE Marsh,2622,79.02
MV Boucher,2617,88.38
KA Pollard,2608,90.65
Ahmed Shehzad,2555,70.52
L Lee,2516,82.65
A Balbirnie,2438,74.22
BL Mooney,2433,84.71
SC Ganguly,2409,70.25
SS Iyer,2396,98.04
HE van der Dussen,2388,85.1
AD Hales,2330,93.84
Shubman Gill,2328,99.02
Abdul Razzaq,2327,86.54
HK Matthews,2327,75.16
RD Berrington,2292,74.37
Sarfraz Ahmed,2289,85.63
KJ Coetzer,2280,80.68
MM Ali,2278,94.21
Mohammad Rizwan,2254,87.36
Imrul Kayes,2242,68.6
DR Martyn,2239,75.39
M du Preez,2223,69.6
M Kapp,2195,85.31
Salman Butt,2186,74.56
Liton Das,2178,84.32
JO Holder,2144,88.19
SP Fleming,2133,70.26
V Sibanda,2125,61.29
HM Nicholls,2116,78.98
A Flintoff,2096,88.59
S Luus,2080,65.29
D Ramdin,2072,78.6
AE Jones,2071,83.51
CL White,2053,79.48
Soumya Sarkar,2044,95.29
CS MacLeod,2015,78.4
ME Trescothick,1997,80.52
KJ O'Brien,1990,92.52
CJ Chibhabha,1987,63.48
AT Carey,1978,87.64
MS Atapattu,1978,66.82
H Klaasen,1977,115.01
RL Haynes,1966,79.11
LMP Simmons,1958,71.43
Bismah Maroof,1938,63.27
Inzamam-ul-Haq,1916,77.2
E Lewis,1903,85.76
BC Lara,1878,76.5
AC Kerr,1854,74.97
DJG Sammy,1853,96.21
EC Joyce,1845,69.2
V Aravind,1843,67.24
N Pooran,1829,95.61
KIC Asalanka,1810,86.6
P Nissanka,1810,84.11
MG Erasmus,1810,78.42
Azhar Ali,1806,72.88
MS Wade,1792,80.5
MD Patel,1792,80.04
A Vala,1783,68.74
M Labuschagne,1764,82.82
HH Pandya,1762,107.7
Yousuf Youhana,1740,78.8
Haris Sohail,1709,85.02
NJ O'Brien,1692,70.68
MP O'Dowd,1682,68.91
DN Wyatt,1680,90.76
DJS Dottin,1679,81.11
HG Munsey,1675,85.16
MH Cross,1675,67.98
DJ Hussey,1672,87.45
SJ Taylor,1651,85.46
AT Rayudu,1637,76.39
RK Paudel,1629,73.25
KD Karthik,1624,71.38
HT Tector,1622,84.0
DJ Mitchell,1616,96.59
N Dickwella,1604,91.24
Sidra Ameen,1595,63.04
MD Gunathilaka,1592,83.83
OA Shah,1579,80.44
NJ Astle,1571,75.6
T Bavuma,1548,87.26
J Charles,1544,83.91
UT Khawaja,1539,82.52
JDS Neesham,1508,98.05
CK Kapugedera,1505,69.77
SA Edwards,1504,90.66
MP Stoinis,1489,91.8
Yasir Hameed,1459,65.57
NE Bolton,1443,69.74
CL Tryon,1440,107.14
PG Raut,1436,61.11
WA Young,1426,86.16
Aasif Sheikh,1423,73.24
DJ Malan,1418,94.28
Nasir Jamshed,1418,73.43
T Chetty,1414,68.51
SO Hetmyer,1410,105.62
Javeria Khan,1408,61.51
ML Green,1407,67.71
WIA Fernando,1404,84.94
Rohan Mustafa,1401,61.96
Waseem Muhammad,1398,85.87
L Ronchi,1397,112.57
MP Vaughan,1382,65.25
Jatinder Singh,1356,71.37
GH Lewis,1348,65.98
JR Hopes,1326,92.34
Anamul Haque,1322,74.06
KM Jadhav,1318,100.84
M Kaif,1314,63.72
Asad Shafiq,1312,66.06
S Matsikenyeri,1309,66.51
MA Leask,1306,111.34
BA King,1306,82.87
Mashrafe Mortaza,1304,81.04
M van Lingen,1300,90.15
HH Dippenaar,1283,67.42
LPC Silva,1279,70.86
Fargana Hoque,1275,49.4
DR Smith,1261,88.18
Sabbir Rahman,1259,90.25
C Munro,1249,103.48
JD Ryder,1242,95.98
RR Rossouw,1239,92.39
GC Wilson,1232,74.53
Imran Farhat,1232,64.54
MJ Prior,1229,74.39
DP Conway,1226,86.95
IK Pathan,1226,79.2
PG Fulton,1216,70.45
Shahriar Nafees,1216,66.92
