player_name,Total_Balls_Faced,Total_Runs,Runs_Per_Ball
V Kohli,15031,13784,0.9170381212161532
KC Sangakkara,14634,11618,0.7939046057127238
MS Dhoni,12090,10274,0.849793217535153
RG Sharma,11782,10646,0.9035817348497709
TM Dilshan,10777,9212,0.8547833348798367
DPMD Jayawardene,10232,8040,0.7857701329163409
LRPL Taylor,10040,8126,0.8093625498007968
Tamim Iqbal,9979,7648,0.766409459865718
AB de Villiers,9488,9435,0.9944139966273187
MJ Clarke,9095,6988,0.7683342495876856
HM Amla,9058,7834,0.8648708324133363
Mushfiqur Rahim,8986,7094,0.7894502559537058
WU Tharanga,8845,6482,0.7328434143583946
RT Ponting,8658,6979,0.8060753060753061
MJ Guptill,8358,7125,0.8524766690595836
Mohammad Hafeez,8347,6351,0.7608721696417875
Yuvraj Singh,8037,6868,0.8545477168097548
EJG Morgan,7767,6953,0.8951976310029612
SR Tendulkar,7607,6432,0.8455370053897726
S Dhawan,7524,6733,0.894869750132908
CH Gayle,7434,6433,0.8653483992467044
Q de Kock,7024,6661,0.9483200455580866
IR Bell,6997,5289,0.7558953837358868
DA Warner,6974,6623,0.9496702036134212
AD Mathews,6934,5646,0.8142486299394289
BRM Taylor,6929,5130,0.7403665752633858
Mahmudullah,6795,5127,0.7545253863134658
Misbah-ul-Haq,6549,4752,0.7256069628950985
Babar Azam,6513,5659,0.8688776293566712
SPD Smith,6499,5549,0.8538236651792583
Younis Khan,6411,4777,0.7451255654344096
SD Hope,6384,4989,0.7814849624060151
F du Plessis,6288,5445,0.8659351145038168
SK Raina,6147,5585,0.9085732877826582
AJ Finch,6135,5188,0.845639771801141
MEK Hussey,6012,5076,0.844311377245509
JP Duminy,5986,4928,0.8232542599398597
SR Watson,5949,5357,0.9004874768868717
G Gambhir,5933,4981,0.839541547277937
MN Samuels,5654,4205,0.7437212592854616
H Masakadza,5646,3955,0.7004959263195183
L Wolvaardt,5606,3992,0.7120941848019978
S Chanderpaul,5605,3804,0.6786797502230152
V Sehwag,5584,5692,1.0193409742120343
PD Collingwood,5497,4132,0.7516827360378389
BB McCullum,5457,5157,0.9450247388675096
TT Beaumont,5272,3936,0.7465857359635811
RR Sarwan,5143,3717,0.7227299241687731
R Dravid,5133,3650,0.7110851353984025
LD Chandimal,5072,3657,0.7210173501577287
KP Pietersen,4990,4202,0.8420841683366733
ML Hayden,4956,3939,0.7947941888619855
TWM Latham,4819,4019,0.833990454451131
ST Jayasuriya,4778,4402,0.9213059857681039
AJ Strauss,4732,3729,0.7880388841927304
BKG Mendis,4515,3838,0.8500553709856036
DM Bravo,4475,3007,0.6719553072625698
HDRL Thirimanne,4444,3164,0.711971197119712
DA Miller,4441,4466,1.005629362756136
HH Gibbs,4434,3766,0.8493459630130807
JC Buttler,4370,5018,1.148283752860412
M Raj,4320,2949,0.6826388888888889
EA Perry,4290,3356,0.7822843822843822
SW Bates,4278,3245,0.7585320243104254
AC Gilchrist,4260,4355,1.022300469483568
AN Cook,4238,3204,0.7560169891458235
T Taibu,4237,2837,0.6695775312721265
E Chigumbura,4235,3266,0.7711924439197166
HC Knight,4205,3158,0.7510107015457789
JJ Roy,4116,4237,1.0293974732750244
S Mandhana,4007,3526,0.879960069877714
MM Lanning,3985,3555,0.8920953575909661
WTS Porterfield,3962,2670,0.673902069661787
PR Stirling,3911,3338,0.8534901559703401
AM Rahane,3812,2906,0.7623294858342078
Mohammad Yousuf,3741,2783,0.743918738305266
IJL Trott,3732,2819,0.7553590568060021
Fakhar Zaman,3721,3434,0.9228701961838216
JM Bairstow,3682,3671,0.9970124932102118
GJ Bailey,3672,3011,0.8199891067538126
BJ Haddin,3648,3003,0.8231907894736842
CR Ervine,3631,2770,0.7628752409804461
Umar Akmal,3626,3032,0.8361831218974076
Ahmed Shehzad,3623,2555,0.7052166712669059
AE Satterthwaite,3618,2895,0.8001658374792703
AC Jayangani,3539,2760,0.7798813224074598
RS Bopara,3520,2689,0.7639204545454545
DJ Bravo,3506,2760,0.7872219053051911
Imam-ul-Haq,3492,2840,0.8132875143184422
V Sibanda,3467,2125,0.6129218344389963
SC Ganguly,3429,2409,0.7025371828521435
MDKJ Perera,3375,3077,0.9117037037037037
Kamran Akmal,3374,2746,0.8138707765263782
SE Marsh,3318,2622,0.7902350813743219
A Balbirnie,3285,2438,0.7421613394216134
Imrul Kayes,3268,2242,0.686046511627907
KL Rahul,3197,2761,0.8636221457616515
M du Preez,3194,2223,0.6959924859110833
SFM Devine,3194,2796,0.8753913587977458
S Luus,3186,2080,0.6528562460765851
CJ Chibhabha,3130,1987,0.6348242811501598
HK Matthews,3096,2327,0.7516149870801033
RD Berrington,3082,2292,0.7436729396495781
Bismah Maroof,3063,1938,0.6327130264446621
L Lee,3044,2516,0.8265440210249672
SP Fleming,3036,2133,0.7025691699604744
GJ Maxwell,3031,3655,1.205872649290663
DR Martyn,2970,2239,0.7538720538720539
MV Boucher,2961,2617,0.8838230327592029
MS Atapattu,2960,1978,0.6682432432432432
MR Marsh,2953,2762,0.935320013545547
Salman Butt,2932,2186,0.7455661664392906
AJ Healy,2897,2759,0.9523645150155333
KA Pollard,2877,2608,0.9064998262078554
BL Mooney,2872,2433,0.8471448467966574
KJ Coetzer,2826,2280,0.8067940552016986
HE van der Dussen,2806,2388,0.8510334996436208
V Aravind,2741,1843,0.6723823422108719
LMP Simmons,2741,1958,0.7143378329076979
Abdul Razzaq,2689,2327,0.8653774637411678
HM Nicholls,2679,2116,0.7898469578200821
Sarfraz Ahmed,2673,2289,0.856341189674523
EC Joyce,2666,1845,0.6920480120030007
D Ramdin,2636,2072,0.7860394537177542
A Vala,2594,1783,0.687355435620663
