player_name,Total_Wickets_Taken,Total_Overs_Bowled,Wickets_Per_Over
Mohammad Yousuf,1,1,1.0
SIR Dunkley,1,4,0.25
DC Thomas,2,9,0.2222222222222222
HE van der Dussen,1,6,0.16666666666666666
SD Outerbridge,1,6,0.16666666666666666
RK Singh,1,6,0.16666666666666666
K Sonavale,2,15,0.13333333333333333
JI Rodrigues,5,39,0.1282051282051282
K Kamyuka,5,47,0.10638297872340426
J Logtenberg,3,36,0.08333333333333333
TH David,1,12,0.08333333333333333
RL Haynes,2,24,0.08333333333333333
Sufiyan Muqeem,4,49,0.08163265306122448
DSK Madushanka,3,39,0.07692307692307693
NE Bolton,2,30,0.06666666666666667
DJ Malan,1,15,0.06666666666666667
S Horley,9,136,0.0661764705882353
IR Bell,6,92,0.06521739130434782
KD Shah,7,110,0.06363636363636363
C Viljoen,2,32,0.0625
KR Sen,2,33,0.06060606060606061
SC Kuggeleijn,5,87,0.05747126436781609
CD de Lange,15,264,0.056818181818181816
JL Ontong,1,18,0.05555555555555555
M du Preez,1,18,0.05555555555555555
L Vincent,1,18,0.05555555555555555
S Laomi,16,295,0.05423728813559322
MK Villiers,5,93,0.053763440860215055
S Sriram,3,56,0.05357142857142857
JA Clarkson,4,75,0.05333333333333334
G Singh,6,113,0.05309734513274336
P Molkenboer,1,19,0.05263157894736842
G Malla,1,19,0.05263157894736842
HRA Rainey,9,172,0.05232558139534884
AH Maqsood,20,383,0.05221932114882506
RTM Mendis,4,77,0.05194805194805195
K Klein,17,351,0.04843304843304843
GH O'Brien,3,62,0.04838709677419355
RD Chahar,3,62,0.04838709677419355
DM Kimmince,7,146,0.04794520547945205
TJ Heggelman,2,42,0.047619047619047616
GT Main,33,695,0.04748201438848921
RJ Trott,9,193,0.046632124352331605
OC McCoy,4,87,0.04597701149425287
A Patel,3,66,0.045454545454545456
T Ruma,2,45,0.044444444444444446
BJ Currie,18,411,0.043795620437956206
AS van Beuge,8,183,0.04371584699453552
S Jimmy,17,394,0.04314720812182741
Pargat Singh,5,116,0.04310344827586207
O Kamchomphu,15,349,0.04297994269340974
Z James,13,304,0.04276315789473684
Shaiman Anwar,5,117,0.042735042735042736
S Tippoch,9,211,0.04265402843601896
Shakeel Ahmed,17,402,0.04228855721393035
RR Sarwan,16,383,0.04177545691906005
STR Binny,21,503,0.041749502982107355
S Mandhana,1,24,0.041666666666666664
Saeed Anwar,1,24,0.041666666666666664
A Balbirnie,1,24,0.041666666666666664
S Dhaniram,23,552,0.041666666666666664
SJ Tsukigawa,2,48,0.041666666666666664
CM Edwards,2,48,0.041666666666666664
Ebadat Hossain,21,505,0.041584158415841586
SSB Magala,15,362,0.04143646408839779
DJ Mitchell,13,315,0.04126984126984127
S Lamichhane,120,2942,0.04078857919782461
J Sumerauer,10,246,0.04065040650406504
JN Loftie-Eaton,22,542,0.04059040590405904
AA Paradkar,9,224,0.04017857142857143
IJR Zwilling,29,722,0.04016620498614958
DS Bajwa,1,25,0.04
SA Fritz,5,125,0.04
P Maya,9,226,0.03982300884955752
Z Groenewald,6,151,0.039735099337748346
Imran Farhat,2,51,0.0392156862745098
C Sakariya,2,51,0.0392156862745098
HHC Gunaratne,8,205,0.03902439024390244
OEG Baartman,6,154,0.03896103896103896
T Putthawong,18,462,0.03896103896103896
DLS van Bunge,6,154,0.03896103896103896
Mohammad Wasim,36,927,0.038834951456310676
A Ndiraya,1,26,0.038461538461538464
A Athanaze,1,26,0.038461538461538464
MMA Jonkman,1,26,0.038461538461538464
SK Dolawatte,3,78,0.038461538461538464
J Overton,1,26,0.038461538461538464
LC Romero,1,26,0.038461538461538464
JL Jonassen,136,3541,0.038407229596159276
Arshdeep Singh,14,365,0.038356164383561646
Wasim Akram,12,314,0.03821656050955414
Mominul Haque,6,157,0.03821656050955414
Akhil Kumar,4,106,0.03773584905660377
W Sutherland,2,53,0.03773584905660377
Tareq Aziz,2,53,0.03773584905660377
S Molineux,23,613,0.037520391517128875
AJ Tye,15,400,0.0375
Khaled Ahmed,3,80,0.0375
Haris Rauf,79,2113,0.03738760056791292
S Bhari,15,402,0.03731343283582089
BJ McMullen,39,1048,0.03721374045801527
TBM de Leede,18,484,0.0371900826446281
NA de Groot,3,81,0.037037037037037035
Waqar Younis,7,189,0.037037037037037035
Pratika Rawal,2,54,0.037037037037037035
Soumya Sarkar,20,543,0.03683241252302026
P Siaka,5,136,0.03676470588235294
MK Tiwary,5,136,0.03676470588235294
K Fraser,9,245,0.036734693877551024
M Prasidh Krishna,30,819,0.03663003663003663
JF Kloppenburg,7,192,0.036458333333333336
KE Ebrahim,4,110,0.03636363636363636
SM Benade,4,111,0.036036036036036036
SW Tait,66,1833,0.03600654664484452
R Rijke,6,167,0.03592814371257485
Nestor Dhamba,11,308,0.03571428571428571
DJS Dottin,53,1496,0.03542780748663102
OA Shah,7,199,0.035175879396984924
WW Hinds,22,626,0.03514376996805112
LM Kasperek,57,1622,0.03514180024660912
B Siddharth,2,57,0.03508771929824561
NR Kirton,4,114,0.03508771929824561
J Nkomo,25,714,0.0350140056022409
A Flintoff,132,3784,0.03488372093023256
Karan KC,81,2323,0.03486870426173052
AB de Villiers,7,201,0.03482587064676617
MJ Henry,155,4452,0.03481581311769991
AE Smith,4,115,0.034782608695652174
Jubair Hossain,4,115,0.034782608695652174
KE Bryce,6,173,0.03468208092485549
J Jarvis,7,202,0.034653465346534656
SL Quintyne,9,260,0.03461538461538462
CL White,11,318,0.03459119496855346
F Overdijk,11,318,0.03459119496855346
