player_name,Total_Wickets_Taken,Total_Runs_Conceded,Runs_Conceded_Per_Wicket
Mohammad Yousuf,1,0,0.0
SIR Dunkley,1,1,1.0
K Sonavale,2,4,2.0
RK Singh,1,2,2.0
JI Rodrigues,5,13,2.6
HE van der Dussen,1,3,3.0
DC Thomas,2,11,5.5
J Logtenberg,3,18,6.0
C Viljoen,2,14,7.0
SA Fritz,5,38,7.6
DSK Madushanka,3,26,8.666666666666666
S Horley,9,80,8.88888888888889
K Kamyuka,5,48,9.6
SJ Tsukigawa,2,20,10.0
P Molkenboer,1,10,10.0
GH O'Brien,3,32,10.666666666666666
SM Benade,4,43,10.75
O Kamchomphu,15,162,10.8
SD Outerbridge,1,11,11.0
S Laomi,16,176,11.0
S Tippoch,9,100,11.11111111111111
KD Shah,7,79,11.285714285714286
Shakeel Ahmed,17,193,11.352941176470589
SC Kuggeleijn,5,62,12.4
AE Smith,4,51,12.75
T Putthawong,18,230,12.777777777777779
AH Maqsood,20,257,12.85
B Siddharth,2,26,13.0
Sufiyan Muqeem,4,53,13.25
S Jimmy,17,230,13.529411764705882
DM Kimmince,7,96,13.714285714285714
CD de Lange,15,211,14.066666666666666
IJR Zwilling,29,415,14.310344827586206
S Sriram,3,43,14.333333333333334
SE Aley,2,29,14.5
S Molineux,23,339,14.73913043478261
BJ Currie,18,266,14.777777777777779
IR Bell,6,89,14.833333333333334
Saeed Anwar,1,15,15.0
T Ruma,2,30,15.0
K Klein,17,266,15.647058823529411
A Ndiraya,1,16,16.0
HRA Rainey,9,145,16.11111111111111
K Fraser,9,145,16.11111111111111
G Singh,6,97,16.166666666666668
S Bhari,15,246,16.4
N Boochatham,10,165,16.5
P Siaka,5,83,16.6
MK Villiers,5,83,16.6
Pargat Singh,5,84,16.8
KE Bryce,6,101,16.833333333333332
C Sakariya,2,34,17.0
J Overton,1,17,17.0
DJ Malan,1,17,17.0
TJ Heggelman,2,34,17.0
RL Haynes,2,34,17.0
OEG Baartman,6,103,17.166666666666668
J Nkomo,25,431,17.24
JL Jonassen,136,2375,17.46323529411765
Tareq Aziz,2,35,17.5
W Sutherland,2,35,17.5
RJ Trott,9,158,17.555555555555557
S Dhaniram,23,408,17.73913043478261
GM Harris,8,144,18.0
G Malla,1,18,18.0
Wasim Akram,12,216,18.0
Z James,13,235,18.076923076923077
S Lamichhane,120,2185,18.208333333333332
JA Clarkson,4,73,18.25
R Rijke,6,110,18.333333333333332
Z Groenewald,6,110,18.333333333333332
P Maya,9,165,18.333333333333332
Mohammad Aadil Alam,9,166,18.444444444444443
GT Main,33,609,18.454545454545453
Ehsanul Haque,2,37,18.5
KR Sen,2,37,18.5
NE Bolton,2,37,18.5
RTM Mendis,4,74,18.5
BJ McMullen,39,724,18.564102564102566
D Parashar,5,93,18.6
SK Dolawatte,3,56,18.666666666666668
A Athanaze,1,19,19.0
Nestor Dhamba,11,210,19.09090909090909
LM Kasperek,57,1091,19.140350877192983
PA Desai,6,115,19.166666666666668
C Abel,5,96,19.2
NR Kirton,4,77,19.25
V Krishnamurthy,3,58,19.333333333333332
RD Chahar,3,58,19.333333333333332
CR Seneviratna,12,234,19.5
AM Peterson,19,371,19.526315789473685
SL Quintyne,9,176,19.555555555555557
JF Kloppenburg,7,138,19.714285714285715
S Ismail,142,2821,19.866197183098592
AS van Beuge,8,159,19.875
TH David,1,20,20.0
M van Jaarsveld,1,20,20.0
A Gardner,103,2068,20.07766990291262
V Araa,11,221,20.09090909090909
Z Mali,4,81,20.25
A Flintoff,132,2682,20.318181818181817
JJ Smit,39,794,20.358974358974358
Simi Singh,30,615,20.5
KE Ebrahim,4,83,20.75
Kaleem Sana,27,561,20.77777777777778
STR Binny,21,440,20.952380952380953
JM Willathgamuwa,3,63,21.0
Akhil Kumar,4,84,21.0
MMA Jonkman,1,21,21.0
HHC Gunaratne,8,169,21.125
BM Scholtz,70,1479,21.12857142857143
Arshdeep Singh,14,296,21.142857142857142
HC Knight,48,1020,21.25
LN Rajbanshi,42,893,21.261904761904763
C Sutthiruang,7,149,21.285714285714285
J Sumerauer,10,213,21.3
Ebadat Hossain,21,453,21.571428571428573
AR Caddick,18,389,21.61111111111111
Sadia Iqbal,31,671,21.64516129032258
G Fontenla,3,65,21.666666666666668
JM Kerr,55,1194,21.70909090909091
AM Bacher,3,66,22.0
L Vincent,1,22,22.0
Imran Farhat,2,44,22.0
M du Preez,1,22,22.0
AG Wharf,18,403,22.38888888888889
DJ Mitchell,13,293,22.53846153846154
NW Bracken,168,3792,22.571428571428573
JN Loftie-Eaton,22,498,22.636363636363637
N Niranjana,15,340,22.666666666666668
DJS Dottin,53,1209,22.81132075471698
Mominul Haque,6,137,22.833333333333332
TBM de Leede,18,413,22.944444444444443
RL Bhudia,1,23,23.0
A Neill,15,345,23.0
A Martin,13,300,23.076923076923077
LL Tsotsobe,102,2360,23.137254901960784
SW Tait,66,1533,23.227272727272727
WW Hinds,22,515,23.40909090909091
AD Janakanthymala,2,47,23.5
R Trumpelmann,56,1324,23.642857142857142
EN Lynch,15,355,23.666666666666668
M Kapp,133,3154,23.714285714285715
Q Joseph,16,380,23.75
JH Davey,26,618,23.76923076923077
