player_name,Total_Runs,POM_Awards
V Kohli,13784,41
AB de Villiers,9435,26
KC Sangakkara,11618,26
TM Dilshan,9212,24
RG Sharma,10646,23
MJ Guptill,7125,22
MS Dhoni,10274,20
Yuvraj Singh,6868,20
Q de Kock,6661,19
Mohammad Hafeez,6351,19
RT Ponting,6979,17
EA Perry,3356,16
LRPL Taylor,8126,16
DA Warner,6623,16
HM Amla,7834,16
SR Tendulkar,6432,16
SR Watson,5357,15
V Sehwag,5692,15
ST Jayasuriya,4402,14
CH Gayle,6433,13
Tamim Iqbal,7648,13
AC Gilchrist,4355,13
Babar Azam,5659,13
JC Buttler,5018,13
JJ Roy,4237,12
EJG Morgan,6953,12
MN Samuels,4205,12
DPMD Jayawardene,8040,12
MM Lanning,3555,11
SK Raina,5585,11
JM Bairstow,3671,11
WU Tharanga,6482,11
G Gambhir,4981,11
SPD Smith,5549,11
MEK Hussey,5076,11
GJ Maxwell,3655,11
S Mandhana,3526,11
S Dhawan,6733,11
TT Beaumont,3936,10
PD Collingwood,4132,10
MJ Clarke,6988,10
Younis Khan,4777,10
HK Matthews,2327,10
F du Plessis,5445,9
Fakhar Zaman,3434,9
AD Mathews,5646,9
IR Bell,5289,9
DJ Bravo,2760,9
HH Gibbs,3766,9
Mushfiqur Rahim,7094,9
SD Hope,4989,9
A Flintoff,2096,9
Abdul Razzaq,2327,9
Mashrafe Mortaza,1304,9
KP Pietersen,4202,9
TWM Latham,4019,8
MR Marsh,2762,8
AC Jayangani,2760,8
HC Knight,3158,8
M Kapp,2195,8
AJ Healy,2759,8
SFM Devine,2796,8
AJ Strauss,3729,7
Misbah-ul-Haq,4752,7
SL Malinga,508,7
AJ Finch,5188,7
JP Duminy,4928,7
HH Dippenaar,1283,7
S Chanderpaul,3804,7
TM Head,2645,7
H Klaasen,1977,7
S Ismail,273,7
AN Cook,3204,7
PR Stirling,3338,7
M du Preez,2223,7
Ahmed Shehzad,2555,6
MJ Henry,268,6
Umar Akmal,3032,6
DW Steyn,365,6
E Chigumbura,3266,6
CR Ervine,2770,6
MG Johnson,934,6
MF Maharoof,799,6
MD Patel,1792,6
SJ Taylor,1651,6
M Raj,2949,6
BKG Mendis,3838,6
RR Sarwan,3717,6
L Wolvaardt,3992,6
L Lee,2516,6
LD Chandimal,3657,6
SW Bates,3245,6
SP Narine,363,6
WIA Fernando,1404,6
NE Bolton,1443,6
MG Erasmus,1810,5
SP Fleming,2133,5
Soumya Sarkar,2044,5
MM Ali,2278,5
BB McCullum,5157,5
JO Holder,2144,5
R Dravid,3650,5
Sarfraz Ahmed,2289,5
CS MacLeod,2015,5
DR Martyn,2239,5
WA Young,1426,5
Aasif Sheikh,1423,5
Salman Butt,2186,5
Mehedi Hasan Miraz,1188,5
NJ Astle,1571,5
IK Pathan,1226,5
AE Satterthwaite,2895,5
EC Joyce,1845,5
RS Bopara,2689,5
WTS Porterfield,2670,5
AD Russell,1034,5
RL Haynes,1966,5
RK Paudel,1629,5
AD Hales,2330,5
Kuldeep Yadav,195,5
AM Rahane,2906,5
MDKJ Perera,3077,5
ML Hayden,3939,5
SC Ganguly,2409,5
Sidra Ameen,1595,5
DJG Sammy,1853,5
Imrul Kayes,2242,4
Imran Tahir,157,4
CM Edwards,1054,4
BA King,1306,4
CL Tryon,1440,4
SE Marsh,2622,4
S Lamichhane,440,4
Asif Khan,1155,4
MP O'Dowd,1682,4
KJ O'Brien,1990,4
Liton Das,2178,4
BL Mooney,2433,4
P Litchfield,895,4
L Vincent,1089,4
HH Pandya,1762,4
RD Berrington,2292,4
SS Iyer,2396,4
GJ Bailey,3011,4
AE Jones,2071,4
DJ Malan,1418,4
DA Miller,4466,4
Yousuf Youhana,1740,4
M van Lingen,1300,4
Yasir Hameed,1459,4
ME Trescothick,1997,4
Mahmudullah,5127,4
Kamran Akmal,2746,4
WD Parnell,574,4
A Balbirnie,2438,4
KA Pollard,2608,4
Shubman Gill,2328,4
Rohan Mustafa,1401,4
SO Hetmyer,1410,4
E Lewis,1903,4
DJS Dottin,1679,4
A Gardner,1175,4
BRM Taylor,5130,4
PWH de Silva,859,4
WPUJC Vaas,569,4
KL Rahul,2761,4
DN Wyatt,1680,4
H Thaker,612,4
Karan KC,457,4
BJ McMullen,888,3
CA Ingram,761,3
T Taibu,2837,3
MH Cross,1675,3
T Chetty,1414,3
SA Edwards,1504,3
NW Bracken,174,3
DP Conway,1226,3
CL White,2053,3
Babar Hayat,539,3
KM Jadhav,1318,3
DR Smith,1261,3
Haris Rauf,70,3
BJ Haddin,3003,3
G Singh,938,3
UT Khawaja,1539,3
R Ashwin,707,3
Aayan Afzal Khan,585,3
AT Rayudu,1637,3
N Chantam,473,3
MS Wade,1792,3
JM How,939,3
PG Fulton,1216,3
MA Leask,1306,3
KAJ Roach,308,3
JWA Taylor,879,3
JN Frylinck,615,3
JA Morkel,705,3
Shahriar Nafees,1216,3
LL Tsotsobe,58,3
K Bhurtel,1182,3
JD Ryder,1242,3
AC Kerr,1854,3
ML Green,1407,3
HE van der Dussen,2388,3
S Luus,2080,3
H Masakadza,3955,3
Nasir Jamshed,1418,3
IJL Trott,2819,3
PG Raut,1436,3
JM Davison,443,3
KIC Asalanka,1810,3
Imam-ul-Haq,2840,3
Inzamam-ul-Haq,1916,3
S Horley,276,3
