player_name,Total_Wickets_Taken,POTM_Awards
SL Malinga,343,7
MG Johnson,243,6
Mashrafe Mortaza,227,9
DW Steyn,212,6
DJ Bravo,193,9
Imran Tahir,180,4
Kuldeep Yadav,173,5
NW Bracken,168,3
R Ashwin,166,3
SR Watson,162,15
JO Holder,162,5
IK Pathan,156,5
MJ Henry,155,6
Mohammad Hafeez,142,19
S Ismail,142,7
AD Mathews,137,9
JL Jonassen,136,2
M Kapp,133,8
A Flintoff,132,9
KAJ Roach,132,3
A Khaka,129,2
S Lamichhane,120,4
TT Bresnan,120,0
MM Ali,119,5
MF Maharoof,118,6
WPUJC Vaas,118,4
UT Yadav,116,0
R Rampaul,115,2
A Nehra,115,2
CH Gayle,112,13
Abdul Razzaq,110,9
WD Parnell,110,4
Mehedi Hasan Miraz,107,5
ST Jayasuriya,105,14
A Gardner,103,4
LL Tsotsobe,102,3
SP Narine,99,6
Yuvraj Singh,99,20
LMM Tahuhu,98,0
TM Dilshan,97,24
AC Kerr,97,3
PD Collingwood,96,10
AL Phehlukwayo,96,1
Zahoor Khan,95,0
MM Patel,93,2
SM Sharif,89,2
E Chigumbura,88,6
Rohan Mustafa,87,4
DJG Sammy,87,5
Nashra Sandhu,87,0
PWH de Silva,85,4
S Luus,84,3
EA Perry,83,16
Mahmudullah,83,4
HK Matthews,83,10
HH Pandya,81,4
Karan KC,81,4
S Sreesanth,81,1
RP Singh,80,2
Haris Rauf,79,3
Sompal Kami,79,1
GJ Maxwell,78,11
J Botha,77,0
M Klaas,77,2
Junaid Siddique,77,0
RJ Peterson,76,0
JP Duminy,74,7
JR Hopes,73,2
AD Russell,72,5
JDS Neesham,71,1
BM Scholtz,70,2
IDR Bradshaw,69,2
WB Rankin,67,0
CA Soper,67,2
AR Patel,67,1
SW Tait,66,2
MN Samuels,66,12
MA Leask,64,3
I Ranaweera,62,0
Nida Dar,62,2
ASS Fletcher,61,0
KJ O'Brien,60,4
AJ Hosein,60,0
SMSM Senanayake,60,1
KA Pollard,59,4
Fatima Sana,59,2
V Sehwag,58,15
HM Rowe,58,1
A Mohammed,58,2
D Gough,58,1
MR Marsh,57,8
LM Kasperek,57,1
N Vanua,56,1
MJ Clarke,56,10
R Trumpelmann,56,2
SFM Devine,55,8
JM Kerr,55,0
B Muzarabani,54,1
Syed Rasel,53,0
N de Klerk,53,2
LA Marsh,53,1
DR Smith,53,3
DJS Dottin,53,4
JA Morkel,50,3
LV van Beek,50,1
MP Stoinis,48,1
HC Knight,48,8
CJ Jordan,47,2
A Vala,47,1
Shoriful Islam,46,0
CR Brathwaite,46,0
DS Airee,46,2
TM Odoyo,45,2
KW Richardson,45,1
Imad Wasim,44,0
AR Nurse,44,1
Diana Baig,43,0
Aayan Afzal Khan,43,3
LN Rajbanshi,42,0
SK Raina,42,11
RS Bopara,41,5
JDF Vandersay,40,1
CL Tryon,40,4
DT Johnston,39,1
BJ McMullen,39,3
JJ Smit,39,1
T Mupariwa,39,0
TK Curran,38,1
AF Giles,38,0
UDU Chandana,38,2
KP Meiyappan,38,0
D Bishoo,38,0
S Randiv,38,1
SI Mahmood,38,2
JF Mooney,37,0
YK Pathan,37,2
Mohammad Wasim,36,0
TL Best,36,0
JN Frylinck,36,3
MG Erasmus,34,5
D Hazell,34,0
AR Cusack,34,1
AC Jayangani,34,8
PJ Ongondo,34,0
PP Chawla,33,0
CJA Amini,33,2
GT Main,33,1
CA Henry,33,1
S Prasanna,33,0
HASD Siriwardene,32,0
BMAJ Mendis,31,1
SR Tendulkar,31,16
Sadia Iqbal,31,0
Gulsan Jha,30,3
O Thomas,30,2
Simi Singh,30,1
CJ Chibhabha,30,1
AA Alleyne,30,0
MS Panesar,30,0
M Prasidh Krishna,30,1
M Kartik,30,1
P Vastrakar,29,1
AE Satterthwaite,29,5
IJR Zwilling,29,0
Hasan Mahmud,29,1
SPD Smith,29,11
SO Tikolo,28,0
KM Jadhav,28,3
SI Kamea,28,0
LM Jongwe,28,0
SS Weerakkody,28,0
AR Adams,28,2
L Balaji,28,0
RM Haq,27,1
TS Sekhukhune,27,0
Asmavia Iqbal,27,0
DN Wellalage,27,2
Kaleem Sana,27,0
KDU Prabodhani,27,0
Kushal Malla,26,1
JH Davey,26,1
S Rana,26,0
PR Stirling,26,7
Rumana Ahmed,26,1
M Dillon,25,0
Saad Bin Zafar,25,0
TM Head,25,7
SW Bates,25,6
B Shikongo,25,0
J Nkomo,25,1
GB Brent,25,2
N Mlaba,24,0
Sohag Gazi,24,2
Washington Sundar,23,0
DNT Zoysa,23,1
S Dhaniram,23,2
S Molineux,23,1
Ali Naseer,23,0
WP Masakadza,22,0
WW Hinds,22,1
H Thaker,22,4
SC Ganguly,22,5
AC Agar,22,1
MD Shanaka,22,1
I Udana,22,1
H Masakadza,22,3
JN Loftie-Eaton,22,2
STR Binny,21,1
Mohammad Nawaz,21,2
DT Christian,21,0
Ebadat Hossain,21,0
Kabir Ali,21,0
C Green,21,2
PP Ojha,21,0
R Ntozakhe,21,0
NJ Carey,20,0
RN ten Doeschate,20,2
AH Maqsood,20,1
Soumya Sarkar,20,5
MH Yardy,20,0
Mohammad Hasnain,20,0
A Nao,20,1
Shariz Ahmad,19,0
DJ Hussey,19,1
FL Mackay,19,0
JM Davison,19,3
PKD Chase,19,0
AM Peterson,19,1
TBM de Leede,18,1
Umaima Sohail,18,0
AG Wharf,18,1
O Prendergast,18,1
AR Caddick,18,1
T Putthawong,18,0
BJ Currie,18,1
BMSM Kumari,18,0
KS Lokuarachchi,18,0
FC Jonas,18,0
I Wardlaw,18,0
Kashif Daud,17,2
LJ Wright,17,0
B Evans,17,0
K Klein,17,0
Shakeel Ahmed,17,2
Mohammad Nawaz (3),17,0
EC Rainsford,17,0
S Jimmy,17,0
SS Pathirana,16,0
Mudassar Bukhari,16,0
JP Behrendorff,16,0
AJ Ireland,16,0
Mosaddek Hossain,16,1
Q Joseph,16,0
RR Sarwan,16,6
AC Botha,16,0
KIC Asalanka,16,3
S Laomi,16,0
E Otieno,15,1
O Kamchomphu,15,0
S Matsikenyeri,15,0
Mahedi Hasan,15,0
SSB Magala,15,2
JWM Dalrymple,15,0
AJ Tye,15,0
