team,Average_Player_Performance
India,319.0272347452698
Pakistan,310.5303215104694
South Africa,294.2430896670222
Oman,259.09281894571427
Australia,241.965404481
England,171.4483956355926
Sri Lanka,170.81112663065574
Ireland,157.29875421452
New Zealand,115.74158291654287
Scotland,95.51866015097222
United Arab Emirates,94.79899132013334
Hong Kong,92.66666665
West Indies,91.16036559111764
Netherlands,88.402791885125
Bangladesh,85.75059127978125
Zimbabwe,81.78459793364102
Nepal,81.53577787537499
Namibia,65.48605901266667
Papua New Guinea,40.19876979540909
Canada,35.28968739506667
Bermuda,35.090277778375
Jersey,18.5657142858
Kenya,16.817213552285715
United States of America,16.572619045285713
Thailand,5.782057823285714
