team,Total_Matches_Won,Total_Matches_Played,Win_Rate
Thailand,98,110,89.0909090909091
Australia,33312,47521,70.0995349424465
India,35019,56911,61.53291982217849
South Africa,23717,38562,61.50355272029459
England,29021,50621,57.32996187353075
Scotland,3034,5625,53.937777777777775
Oman,462,857,53.90898483080513
New Zealand,18139,34951,51.89837200652342
Nepal,787,1570,50.12738853503185
Pakistan,21863,44821,48.77847437585061
Namibia,710,1488,47.715053763440864
United States of America,1056,2237,47.206079570853824
Sri Lanka,23408,50327,46.51181274464999
West Indies,17189,44516,38.61308293647228
Bangladesh,8636,22798,37.880515834722345
Ireland,3058,8756,34.92462311557789
United Arab Emirates,1353,3909,34.61243284727552
Kenya,232,689,33.671988388969524
Canada,754,2458,30.675345809601303
Netherlands,1519,4976,30.526527331189712
Hong Kong,63,211,29.85781990521327
Jersey,11,44,25.0
Zimbabwe,4793,19830,24.17044881492688
Bermuda,31,129,24.031007751937985
Papua New Guinea,352,1906,18.467995802728225
