player_name,High_Batting_Strike_Rate,Player_Average
Joginder Sharma,250.0,5.0
SE Aley,187.5,7.5
SC Kuggeleijn,183.3333333,2.2
IECM Wong,166.6666667,3.75
RT Lyons,166.6666667,5.0
Mohammad Hasnain,155.8823529,2.65
AE Smith,150.0,11.25
Tanvir Ahmed,150.0,18.0
RL Bhudia,146.6666667,22.0
J Overton,145.4545455,32.0
SKW Kelly,140.0,3.5
CK Hooper,133.3333333,4.0
PJC Hoffmann,130.4347826,30.0
AD Russell,128.447205,14.36
RK Singh,127.9069767,55.0
Usama Mir,126.6666667,2.53
R MacDonald-Gay,121.4285714,17.0
GJ Maxwell,120.5872649,46.86
AJ Tye,118.75,3.8
DSK Madushanka,116.6666667,2.33
AJ Turner,116.3636364,96.0
Bilawal Bhatti,115.5844156,12.71
AAP Atkinson,114.5454545,5.73
J Sumerauer,113.5135135,8.4
JM Davison,112.7226463,23.32
SG Borthwick,112.5,18.0
MA Leask,111.3384484,20.41
SE Rutherford,110.4444444,165.67
YK Pathan,110.0543478,21.89
TS Nethula,109.0909091,2.4
Imad Wasim,108.9534884,21.3
Arshdeep Singh,108.8235294,2.64
HH Pandya,107.7017115,21.75
KW Richardson,107.1428571,1.67
CL Tryon,107.1428571,36.0
AR Adams,107.1428571,5.89
JM Kerr,105.9360731,4.22
L Klusener,104.4871795,13.58
C Munro,103.4797017,138.78
DO Leicher,103.2258065,32.0
PWH de Silva,102.7511962,10.11
TB Sole,102.7027027,4.22
TM Head,102.202473,105.8
V Sehwag,101.9340974,98.14
TG Norris,101.7241379,8.43
KM Jadhav,100.841622,47.07
A Gardner,100.5993151,11.41
MK Villiers,100.0,6.4
HL Baker,100.0,3.0
L Cheatle,100.0,6.5
A van der Merwe,100.0,2.0
Zafar Gohar,100.0,7.5
K Kamyuka,100.0,0.4
RTM Mendis,100.0,12.5
AB de Villiers,99.44139966,1347.86
Ali Naseer,99.2481203,17.22
KH Pandya,99.23664122,65.0
MW Short,98.98477157,195.0
Wasim Akram,98.61111111,5.92
WG Jacks,98.11320755,93.6
JDS Neesham,98.04941482,21.24
AR Nurse,97.84482759,10.32
Agha Salman,97.6993865,42.47
TS Roland-Jones,97.36842105,37.0
JA Morkel,96.9738652,14.1
DJ Mitchell,96.5929468,124.31
S Nitschke,96.42857143,81.0
F Behardien,96.40933573,89.5
DJG Sammy,96.20976116,21.3
I Udana,96.18644068,10.32
JD Ryder,95.98145286,112.91
N Pooran,95.60899111,304.83
BA Langston,95.45454545,10.5
Soumya Sarkar,95.29137529,102.2
GJ Delany,95.1754386,36.17
GD Phillips,94.79305741,54.62
DJ Malan,94.28191489,1418.0
MM Ali,94.21009098,19.14
D Langford-Smith,94.04761905,7.9
NJ Carey,93.79310345,6.8
MR Marsh,93.53200135,48.46
Khushdil Shah,93.45794393,66.67
Muhammad Jawadullah,93.33333333,2.0
MG Johnson,93.21357285,3.84
Kabir Ali,93.10344828,2.57
KJ O'Brien,92.51510925,33.17
RR Rossouw,92.39373602,1239.0
JR Hopes,92.33983287,18.16
Fakhar Zaman,92.28701962,3434.0
GT Main,92.13483146,2.48
ST Jayasuriya,92.13059858,41.92
Mohammad Wasim,91.95402299,2.22
MP Stoinis,91.80024661,31.02
V Kohli,91.70381212,1969.14
U Bhatti,91.60305344,10.0
S Prasanna,91.52173913,12.76
AC Cummins,91.30434783,5.25
JP Behrendorff,91.30434783,1.31
STR Binny,91.26984127,10.95
TK Curran,91.26506024,7.97
MJ Henry,91.15646259,1.73
S Nisansala,90.90909091,2.5
SK Raina,90.85732878,132.98
DN Wyatt,90.76175041,120.0
KA Pollard,90.64998262,44.2
RG Sharma,90.35817348,967.82
SMSM Senanayake,90.34267913,4.83
