player_name,Total_Runs,Strike_Rate,Total_Wickets_Taken,POTM
V Kohli,13784,91.7,7,41
KC Sangakkara,11618,79.39,0,26
RG Sharma,10646,90.36,11,23
MS Dhoni,10274,84.98,1,20
AB de Villiers,9435,99.44,7,26
TM Dilshan,9212,85.48,97,24
LRPL Taylor,8126,80.94,0,16
DPMD Jayawardene,8040,78.58,2,12
HM Amla,7834,86.49,0,16
Tamim Iqbal,7648,76.64,0,13
MJ Guptill,7125,85.25,4,22
Mushfiqur Rahim,7094,78.95,0,9
MJ Clarke,6988,76.83,56,10
RT Ponting,6979,80.61,0,17
EJG Morgan,6953,89.52,0,12
Yuvraj Singh,6868,85.45,99,20
S Dhawan,6733,89.49,0,11
Q de Kock,6661,94.83,0,19
DA Warner,6623,94.97,0,16
WU Tharanga,6482,73.28,0,11
CH Gayle,6433,86.53,112,13
SR Tendulkar,6432,84.55,31,16
Mohammad Hafeez,6351,76.09,142,19
V Sehwag,5692,101.93,58,15
Babar Azam,5659,86.89,0,13
AD Mathews,5646,81.42,137,9
SK Raina,5585,90.86,42,11
SPD Smith,5549,85.38,29,11
F du Plessis,5445,86.59,2,9
SR Watson,5357,90.05,162,15
IR Bell,5289,75.59,6,9
AJ Finch,5188,84.56,5,7
BB McCullum,5157,94.5,0,5
BRM Taylor,5130,74.04,4,4
Mahmudullah,5127,75.45,83,4
MEK Hussey,5076,84.43,4,11
JC Buttler,5018,114.83,0,13
SD Hope,4989,78.15,0,9
G Gambhir,4981,83.95,0,11
JP Duminy,4928,82.33,74,7
Younis Khan,4777,74.51,1,10
Misbah-ul-Haq,4752,72.56,0,7
DA Miller,4466,100.56,0,4
ST Jayasuriya,4402,92.13,105,14
AC Gilchrist,4355,102.23,0,13
JJ Roy,4237,102.94,0,12
MN Samuels,4205,74.37,66,12
KP Pietersen,4202,84.21,8,9
PD Collingwood,4132,75.17,96,10
TWM Latham,4019,83.4,0,8
L Wolvaardt,3992,71.21,0,6
H Masakadza,3955,70.05,22,3
ML Hayden,3939,79.48,0,5
TT Beaumont,3936,74.66,0,10
BKG Mendis,3838,85.01,0,6
S Chanderpaul,3804,67.87,0,7
HH Gibbs,3766,84.93,0,9
AJ Strauss,3729,78.8,0,7
RR Sarwan,3717,72.27,16,6
JM Bairstow,3671,99.7,0,11
LD Chandimal,3657,72.1,0,6
GJ Maxwell,3655,120.59,78,11
R Dravid,3650,71.11,0,5
MM Lanning,3555,89.21,1,11
S Mandhana,3526,88.0,1,11
Fakhar Zaman,3434,92.29,1,9
EA Perry,3356,78.23,83,16
PR Stirling,3338,85.35,26,7
