player_name,Total_Runs,Total_Balls_Faced,Strike_Rate,RUNS_PER_BALL
V Kohli,13784,15031,91.7,0.9170381212161532
KC Sangakkara,11618,14634,79.39,0.7939046057127238
RG Sharma,10646,11782,90.36,0.9035817348497709
MS Dhoni,10274,12090,84.98,0.849793217535153
AB de Villiers,9435,9488,99.44,0.9944139966273187
TM Dilshan,9212,10777,85.48,0.8547833348798367
LRPL Taylor,8126,10040,80.94,0.8093625498007968
DPMD Jayawardene,8040,10232,78.58,0.7857701329163409
HM Amla,7834,9058,86.49,0.8648708324133363
Tamim Iqbal,7648,9979,76.64,0.766409459865718
MJ Guptill,7125,8358,85.25,0.8524766690595836
Mushfiqur Rahim,7094,8986,78.95,0.7894502559537058
MJ Clarke,6988,9095,76.83,0.7683342495876856
RT Ponting,6979,8658,80.61,0.8060753060753061
EJG Morgan,6953,7767,89.52,0.8951976310029612
Yuvraj Singh,6868,8037,85.45,0.8545477168097548
S Dhawan,6733,7524,89.49,0.894869750132908
Q de Kock,6661,7024,94.83,0.9483200455580866
DA Warner,6623,6974,94.97,0.9496702036134212
WU Tharanga,6482,8845,73.28,0.7328434143583946
CH Gayle,6433,7434,86.53,0.8653483992467044
SR Tendulkar,6432,7607,84.55,0.8455370053897726
Mohammad Hafeez,6351,8347,76.09,0.7608721696417875
V Sehwag,5692,5584,101.93,1.0193409742120343
Babar Azam,5659,6513,86.89,0.8688776293566712
AD Mathews,5646,6934,81.42,0.8142486299394289
SK Raina,5585,6147,90.86,0.9085732877826582
SPD Smith,5549,6499,85.38,0.8538236651792583
F du Plessis,5445,6288,86.59,0.8659351145038168
SR Watson,5357,5949,90.05,0.9004874768868717
IR Bell,5289,6997,75.59,0.7558953837358868
AJ Finch,5188,6135,84.56,0.845639771801141
BB McCullum,5157,5457,94.5,0.9450247388675096
BRM Taylor,5130,6929,74.04,0.7403665752633858
Mahmudullah,5127,6795,75.45,0.7545253863134658
MEK Hussey,5076,6012,84.43,0.844311377245509
JC Buttler,5018,4370,114.83,1.148283752860412
SD Hope,4989,6384,78.15,0.7814849624060151
G Gambhir,4981,5933,83.95,0.839541547277937
JP Duminy,4928,5986,82.33,0.8232542599398597
Younis Khan,4777,6411,74.51,0.7451255654344096
Misbah-ul-Haq,4752,6549,72.56,0.7256069628950985
DA Miller,4466,4441,100.56,1.005629362756136
ST Jayasuriya,4402,4778,92.13,0.9213059857681039
AC Gilchrist,4355,4260,102.23,1.022300469483568
JJ Roy,4237,4116,102.94,1.0293974732750244
MN Samuels,4205,5654,74.37,0.7437212592854616
KP Pietersen,4202,4990,84.21,0.8420841683366733
PD Collingwood,4132,5497,75.17,0.7516827360378389
TWM Latham,4019,4819,83.4,0.833990454451131
L Wolvaardt,3992,5606,71.21,0.7120941848019978
H Masakadza,3955,5646,70.05,0.7004959263195183
ML Hayden,3939,4956,79.48,0.7947941888619855
TT Beaumont,3936,5272,74.66,0.7465857359635811
BKG Mendis,3838,4515,85.01,0.8500553709856036
S Chanderpaul,3804,5605,67.87,0.6786797502230152
HH Gibbs,3766,4434,84.93,0.8493459630130807
AJ Strauss,3729,4732,78.8,0.7880388841927304
RR Sarwan,3717,5143,72.27,0.7227299241687731
JM Bairstow,3671,3682,99.7,0.9970124932102118
LD Chandimal,3657,5072,72.1,0.7210173501577287
GJ Maxwell,3655,3031,120.59,1.205872649290663
R Dravid,3650,5133,71.11,0.7110851353984025
MM Lanning,3555,3985,89.21,0.8920953575909661
S Mandhana,3526,4007,88.0,0.879960069877714
Fakhar Zaman,3434,3721,92.29,0.9228701961838216
EA Perry,3356,4290,78.23,0.7822843822843822
PR Stirling,3338,3911,85.35,0.8534901559703401
E Chigumbura,3266,4235,77.12,0.7711924439197166
SW Bates,3245,4278,75.85,0.7585320243104254
AN Cook,3204,4238,75.6,0.7560169891458235
HDRL Thirimanne,3164,4444,71.2,0.711971197119712
HC Knight,3158,4205,75.1,0.7510107015457789
MDKJ Perera,3077,3375,91.17,0.9117037037037037
Umar Akmal,3032,3626,83.62,0.8361831218974076
GJ Bailey,3011,3672,82.0,0.8199891067538126
DM Bravo,3007,4475,67.2,0.6719553072625698
BJ Haddin,3003,3648,82.32,0.8231907894736842
M Raj,2949,4320,68.26,0.6826388888888889
AM Rahane,2906,3812,76.23,0.7623294858342078
AE Satterthwaite,2895,3618,80.02,0.8001658374792703
Imam-ul-Haq,2840,3492,81.33,0.8132875143184422
T Taibu,2837,4237,66.96,0.6695775312721265
IJL Trott,2819,3732,75.54,0.7553590568060021
SFM Devine,2796,3194,87.54,0.8753913587977458
Mohammad Yousuf,2783,3741,74.39,0.743918738305266
CR Ervine,2770,3631,76.29,0.7628752409804461
MR Marsh,2762,2953,93.53,0.935320013545547
KL Rahul,2761,3197,86.36,0.8636221457616515
DJ Bravo,2760,3506,78.72,0.7872219053051911
AC Jayangani,2760,3539,77.99,0.7798813224074598
AJ Healy,2759,2897,95.24,0.9523645150155333
Kamran Akmal,2746,3374,81.39,0.8138707765263782
RS Bopara,2689,3520,76.39,0.7639204545454545
WTS Porterfield,2670,3962,67.39,0.673902069661787
TM Head,2645,2588,102.2,1.0220247295208655
SE Marsh,2622,3318,79.02,0.7902350813743219
MV Boucher,2617,2961,88.38,0.8838230327592029
KA Pollard,2608,2877,90.65,0.9064998262078554
Ahmed Shehzad,2555,3623,70.52,0.7052166712669059
L Lee,2516,3044,82.65,0.8265440210249672
A Balbirnie,2438,3285,74.22,0.7421613394216134
