player_name,Total_Wickets,Total_Overs,Total_Runs,Wickets_Per_Over,Runs_Per_Wicket
Mohammad Yousuf,1,1,0,1.0,0.0
SIR Dunkley,1,4,1,0.25,1.0
DC Thomas,2,9,11,0.222,5.5
RK Singh,1,6,2,0.167,2.0
HE van der Dussen,1,6,3,0.167,3.0
SD Outerbridge,1,6,11,0.167,11.0
K Sonavale,2,15,4,0.133,2.0
JI Rodrigues,5,39,13,0.128,2.6
K Kamyuka,5,47,48,0.106,9.6
J Logtenberg,3,36,18,0.083,6.0
RL Haynes,2,24,34,0.083,17.0
TH David,1,12,20,0.083,20.0
Sufiyan Muqeem,4,49,53,0.082,13.25
DSK Madushanka,3,39,26,0.077,8.67
DJ Malan,1,15,17,0.067,17.0
NE Bolton,2,30,37,0.067,18.5
S Horley,9,136,80,0.066,8.89
IR Bell,6,92,89,0.065,14.83
KD Shah,7,110,79,0.064,11.29
C Viljoen,2,32,14,0.062,7.0
KR Sen,2,33,37,0.061,18.5
SC Kuggeleijn,5,87,62,0.057,12.4
CD de Lange,15,264,211,0.057,14.07
L Vincent,1,18,22,0.056,22.0
M du Preez,1,18,22,0.056,22.0
JL Ontong,1,18,24,0.056,24.0
S Laomi,16,295,176,0.054,11.0
S Sriram,3,56,43,0.054,14.33
MK Villiers,5,93,83,0.054,16.6
P Molkenboer,1,19,10,0.053,10.0
G Singh,6,113,97,0.053,16.17
G Malla,1,19,18,0.053,18.0
JA Clarkson,4,75,73,0.053,18.25
AH Maqsood,20,383,257,0.052,12.85
HRA Rainey,9,172,145,0.052,16.11
RTM Mendis,4,77,74,0.052,18.5
GH O'Brien,3,62,32,0.048,10.67
DM Kimmince,7,146,96,0.048,13.71
K Klein,17,351,266,0.048,15.65
TJ Heggelman,2,42,34,0.048,17.0
RD Chahar,3,62,58,0.048,19.33
RJ Trott,9,193,158,0.047,17.56
GT Main,33,695,609,0.047,18.45
OC McCoy,4,87,110,0.046,27.5
A Patel,3,66,73,0.045,24.33
BJ Currie,18,411,266,0.044,14.78
T Ruma,2,45,30,0.044,15.0
AS van Beuge,8,183,159,0.044,19.88
O Kamchomphu,15,349,162,0.043,10.8
S Tippoch,9,211,100,0.043,11.11
S Jimmy,17,394,230,0.043,13.53
Pargat Singh,5,116,84,0.043,16.8
Z James,13,304,235,0.043,18.08
Shaiman Anwar,5,117,136,0.043,27.2
SJ Tsukigawa,2,48,20,0.042,10.0
Shakeel Ahmed,17,402,193,0.042,11.35
Saeed Anwar,1,24,15,0.042,15.0
S Dhaniram,23,552,408,0.042,17.74
STR Binny,21,503,440,0.042,20.95
Ebadat Hossain,21,505,453,0.042,21.57
RR Sarwan,16,383,393,0.042,24.56
CM Edwards,2,48,51,0.042,25.5
A Balbirnie,1,24,31,0.042,31.0
S Mandhana,1,24,36,0.042,36.0
S Lamichhane,120,2942,2185,0.041,18.21
J Sumerauer,10,246,213,0.041,21.3
DJ Mitchell,13,315,293,0.041,22.54
JN Loftie-Eaton,22,542,498,0.041,22.64
SSB Magala,15,362,384,0.041,25.6
SA Fritz,5,125,38,0.04,7.6
IJR Zwilling,29,722,415,0.04,14.31
P Maya,9,226,165,0.04,18.33
Z Groenewald,6,151,110,0.04,18.33
DS Bajwa,1,25,27,0.04,27.0
AA Paradkar,9,224,245,0.04,27.22
T Putthawong,18,462,230,0.039,12.78
C Sakariya,2,51,34,0.039,17.0
OEG Baartman,6,154,103,0.039,17.17
HHC Gunaratne,8,205,169,0.039,21.12
Imran Farhat,2,51,44,0.039,22.0
Mohammad Wasim,36,927,858,0.039,23.83
DLS van Bunge,6,154,181,0.039,30.17
S Molineux,23,613,339,0.038,14.74
A Ndiraya,1,26,16,0.038,16.0
J Overton,1,26,17,0.038,17.0
JL Jonassen,136,3541,2375,0.038,17.46
Tareq Aziz,2,53,35,0.038,17.5
W Sutherland,2,53,35,0.038,17.5
Wasim Akram,12,314,216,0.038,18.0
SK Dolawatte,3,78,56,0.038,18.67
A Athanaze,1,26,19,0.038,19.0
Akhil Kumar,4,106,84,0.038,21.0
MMA Jonkman,1,26,21,0.038,21.0
Arshdeep Singh,14,365,296,0.038,21.14
Mominul Haque,6,157,137,0.038,22.83
Khaled Ahmed,3,80,72,0.038,24.0
AJ Tye,15,400,396,0.038,26.4
LC Romero,1,26,52,0.038,52.0
K Fraser,9,245,145,0.037,16.11
S Bhari,15,402,246,0.037,16.4
P Siaka,5,136,83,0.037,16.6
BJ McMullen,39,1048,724,0.037,18.56
TBM de Leede,18,484,413,0.037,22.94
M Prasidh Krishna,30,819,756,0.037,25.2
Haris Rauf,79,2113,2029,0.037,25.68
Waqar Younis,7,189,181,0.037,25.86
Soumya Sarkar,20,543,545,0.037,27.25
NA de Groot,3,81,88,0.037,29.33
MK Tiwary,5,136,150,0.037,30.0
Pratika Rawal,2,54,63,0.037,31.5
SM Benade,4,111,43,0.036,10.75
R Rijke,6,167,110,0.036,18.33
Nestor Dhamba,11,308,210,0.036,19.09
JF Kloppenburg,7,192,138,0.036,19.71
KE Ebrahim,4,110,83,0.036,20.75
SW Tait,66,1833,1533,0.036,23.23
AE Smith,4,115,51,0.035,12.75
B Siddharth,2,57,26,0.035,13.0
KE Bryce,6,173,101,0.035,16.83
J Nkomo,25,714,431,0.035,17.24
LM Kasperek,57,1622,1091,0.035,19.14
NR Kirton,4,114,77,0.035,19.25
SL Quintyne,9,260,176,0.035,19.56
A Flintoff,132,3784,2682,0.035,20.32
DJS Dottin,53,1496,1209,0.035,22.81
WW Hinds,22,626,515,0.035,23.41
F Overdijk,11,318,262,0.035,23.82
Karan KC,81,2323,1972,0.035,24.35
MJ Henry,155,4452,3810,0.035,24.58
OA Shah,7,199,184,0.035,26.29
J Jarvis,7,202,192,0.035,27.43
Jubair Hossain,4,115,115,0.035,28.75
AB de Villiers,7,201,205,0.035,29.29
CL White,11,318,331,0.035,30.09
A Gardner,103,3018,2068,0.034,20.08
V Araa,11,322,221,0.034,20.09
JJ Smit,39,1134,794,0.034,20.36
HC Knight,48,1392,1020,0.034,21.25
LL Tsotsobe,102,2988,2360,0.034,23.14
JH Davey,26,769,618,0.034,23.77
MJ Guptill,4,116,100,0.034,25.0
PWH de Silva,85,2482,2164,0.034,25.46
AR Cusack,34,1009,866,0.034,25.47
S Gajnabi,5,148,130,0.034,26.0
AR Adams,28,834,730,0.034,26.07
KW Richardson,45,1338,1251,0.034,27.8
N Pooran,6,178,174,0.034,29.0
IECM Wong,4,118,122,0.034,30.5
Wasim Ali,1,29,31,0.034,31.0
Umran Malik,13,381,408,0.034,31.38
Mohammad Aadil Alam,9,272,166,0.033,18.44
Ehsanul Haque,2,61,37,0.033,18.5
PA Desai,6,181,115,0.033,19.17
S Ismail,142,4242,2821,0.033,19.87
Kaleem Sana,27,813,561,0.033,20.78
JM Kerr,55,1662,1194,0.033,21.71
NW Bracken,168,5095,3792,0.033,22.57
A Neill,15,448,345,0.033,23.0
Q Joseph,16,480,380,0.033,23.75
