player_name,total_runs,total_wickets_taken,player_of_match_awards,Impact_Score
V Kohli,13784,7,41,18024
KC Sangakkara,11618,0,26,14218
TM Dilshan,9212,97,24,13552
RG Sharma,10646,11,23,13166
MS Dhoni,10274,1,20,12294
AB de Villiers,9435,7,26,12175
Mohammad Hafeez,6351,142,19,11091
Yuvraj Singh,6868,99,20,10848
SR Watson,5357,162,15,10097
CH Gayle,6433,112,13,9973
LRPL Taylor,8126,0,16,9726
HM Amla,7834,0,16,9434
MJ Guptill,7125,4,22,9405
AD Mathews,5646,137,9,9286
DPMD Jayawardene,8040,2,12,9280
MJ Clarke,6988,56,10,9108
Tamim Iqbal,7648,0,13,8948
RT Ponting,6979,0,17,8679
SR Tendulkar,6432,31,16,8652
Q de Kock,6661,0,19,8561
V Sehwag,5692,58,15,8352
DA Warner,6623,0,16,8223
EJG Morgan,6953,0,12,8153
SL Malinga,508,343,7,8068
Mushfiqur Rahim,7094,0,9,7994
ST Jayasuriya,4402,105,14,7902
S Dhawan,6733,0,11,7833
WU Tharanga,6482,0,11,7582
SK Raina,5585,42,11,7525
DJ Bravo,2760,193,9,7520
SPD Smith,5549,29,11,7229
Mahmudullah,5127,83,4,7187
JP Duminy,4928,74,7,7108
PD Collingwood,4132,96,10,7052
Babar Azam,5659,0,13,6959
Mashrafe Mortaza,1304,227,9,6744
MN Samuels,4205,66,12,6725
EA Perry,3356,83,16,6616
MG Johnson,934,243,6,6394
F du Plessis,5445,2,9,6385
JC Buttler,5018,0,13,6318
GJ Maxwell,3655,78,11,6315
IR Bell,5289,6,9,6309
MEK Hussey,5076,4,11,6256
G Gambhir,4981,0,11,6081
AJ Finch,5188,5,7,5988
SD Hope,4989,0,9,5889
JO Holder,2144,162,5,5884
Younis Khan,4777,1,10,5797
BB McCullum,5157,0,5,5657
M Kapp,2195,133,8,5655
AC Gilchrist,4355,0,13,5655
A Flintoff,2096,132,9,5636
E Chigumbura,3266,88,6,5626
BRM Taylor,5130,4,4,5610
Misbah-ul-Haq,4752,0,7,5452
JJ Roy,4237,0,12,5437
Abdul Razzaq,2327,110,9,5427
KP Pietersen,4202,8,9,5262
DW Steyn,365,212,6,5205
MM Ali,2278,119,5,5158
HK Matthews,2327,83,10,4987
TT Beaumont,3936,0,10,4936
HC Knight,3158,48,8,4918
DA Miller,4466,0,4,4866
IK Pathan,1226,156,5,4846
TWM Latham,4019,0,8,4819
JM Bairstow,3671,0,11,4771
MR Marsh,2762,57,8,4702
SFM Devine,2796,55,8,4696
H Masakadza,3955,22,3,4695
MM Lanning,3555,1,11,4675
HH Gibbs,3766,0,9,4666
S Mandhana,3526,1,11,4646
RR Sarwan,3717,16,6,4637
L Wolvaardt,3992,0,6,4592
PR Stirling,3338,26,7,4558
S Chanderpaul,3804,0,7,4504
ML Hayden,3939,0,5,4439
BKG Mendis,3838,0,6,4438
AJ Strauss,3729,0,7,4429
Fakhar Zaman,3434,1,9,4354
SW Bates,3245,25,6,4345
R Ashwin,707,166,3,4327
LD Chandimal,3657,0,6,4257
AC Jayangani,2760,34,8,4240
KA Pollard,2608,59,4,4188
Imran Tahir,157,180,4,4157
Kuldeep Yadav,195,173,5,4155
R Dravid,3650,0,5,4150
AC Kerr,1854,97,3,4094
DJG Sammy,1853,87,5,4093
S Luus,2080,84,3,4060
RS Bopara,2689,41,5,4009
AE Satterthwaite,2895,29,5,3975
MJ Henry,268,155,6,3968
AN Cook,3204,0,7,3904
TM Head,2645,25,7,3845
NW Bracken,174,168,3,3834
Mehedi Hasan Miraz,1188,107,5,3828
S Ismail,273,142,7,3813
