player_name,total_matches_played,total_runs,Strike_Rate,player_of_match_awards
V Kohli,579,13784,91.7,41
KC Sangakkara,510,11618,79.39,26
RG Sharma,577,10646,90.36,23
MS Dhoni,575,10274,84.98,20
AB de Villiers,466,9435,99.44,26
TM Dilshan,510,9212,85.48,24
LRPL Taylor,444,8126,80.94,16
DPMD Jayawardene,510,8040,78.58,12
HM Amla,470,7834,86.49,16
Tamim Iqbal,345,7648,76.64,13
MJ Guptill,444,7125,85.25,22
Mushfiqur Rahim,345,7094,78.95,9
MJ Clarke,545,6988,76.83,10
RT Ponting,545,6979,80.61,17
EJG Morgan,517,6953,89.52,12
Yuvraj Singh,579,6868,85.45,20
S Dhawan,577,6733,89.49,11
Q de Kock,470,6661,94.83,19
DA Warner,545,6623,94.97,16
WU Tharanga,512,6482,73.28,11
CH Gayle,427,6433,86.53,13
SR Tendulkar,574,6432,84.55,16
Mohammad Hafeez,468,6351,76.09,19
V Sehwag,574,5692,101.93,15
Babar Azam,462,5659,86.89,13
AD Mathews,512,5646,81.42,9
SK Raina,579,5585,90.86,11
SPD Smith,543,5549,85.38,11
F du Plessis,470,5445,86.59,9
SR Watson,544,5357,90.05,15
IR Bell,518,5289,75.59,9
AJ Finch,544,5188,84.56,7
BB McCullum,443,5157,94.5,5
Mahmudullah,345,5127,75.45,4
MEK Hussey,545,5076,84.43,11
JC Buttler,519,5018,114.83,13
SD Hope,430,4989,78.15,9
G Gambhir,579,4981,83.95,11
JP Duminy,470,4928,82.33,7
Younis Khan,469,4777,74.51,10
Misbah-ul-Haq,469,4752,72.56,7
DA Miller,470,4466,100.56,4
ST Jayasuriya,510,4402,92.13,14
AC Gilchrist,538,4355,102.23,13
JJ Roy,519,4237,102.94,12
MN Samuels,426,4205,74.37,12
KP Pietersen,518,4202,84.21,9
PD Collingwood,518,4132,75.17,10
TWM Latham,439,4019,83.4,8
L Wolvaardt,471,3992,71.21,6
ML Hayden,540,3939,79.48,5
TT Beaumont,513,3936,74.66,10
BKG Mendis,512,3838,85.01,6
S Chanderpaul,424,3804,67.87,7
HH Gibbs,466,3766,84.93,9
AJ Strauss,518,3729,78.8,7
RR Sarwan,427,3717,72.27,6
JM Bairstow,516,3671,99.7,11
LD Chandimal,508,3657,72.1,6
GJ Maxwell,544,3655,120.59,11
R Dravid,573,3650,71.11,5
MM Lanning,527,3555,89.21,11
S Mandhana,578,3526,88.0,11
Fakhar Zaman,461,3434,92.29,9
EA Perry,533,3356,78.23,16
SW Bates,433,3245,75.85,6
AN Cook,517,3204,75.6,7
HDRL Thirimanne,506,3164,71.2,2
HC Knight,507,3158,75.1,8
MDKJ Perera,512,3077,91.17,5
Umar Akmal,467,3032,83.62,6
GJ Bailey,544,3011,82.0,4
DM Bravo,427,3007,67.2,3
BJ Haddin,545,3003,82.32,3
M Raj,564,2949,68.26,6
AM Rahane,571,2906,76.23,5
AE Satterthwaite,433,2895,80.02,5
Imam-ul-Haq,451,2840,81.33,3
IJL Trott,505,2819,75.54,3
SFM Devine,433,2796,87.54,8
Mohammad Yousuf,458,2783,74.39,2
MR Marsh,543,2762,93.53,8
KL Rahul,580,2761,86.36,4
DJ Bravo,427,2760,78.72,9
AC Jayangani,497,2760,77.99,8
AJ Healy,533,2759,95.24,8
Kamran Akmal,469,2746,81.39,4
RS Bopara,509,2689,76.39,5
TM Head,543,2645,102.2,7
SE Marsh,545,2622,79.02,4
MV Boucher,466,2617,88.38,2
KA Pollard,429,2608,90.65,4
Ahmed Shehzad,466,2555,70.52,6
L Lee,471,2516,82.65,6
BL Mooney,533,2433,84.71,4
SC Ganguly,573,2409,70.25,5
SS Iyer,576,2396,98.04,4
HE van der Dussen,472,2388,85.1,3
AD Hales,515,2330,93.84,5
Shubman Gill,560,2328,99.02,4
Abdul Razzaq,464,2327,86.54,9
HK Matthews,428,2327,75.16,10
Sarfraz Ahmed,467,2289,85.63,5
MM Ali,519,2278,94.21,5
Mohammad Rizwan,462,2254,87.36,1
Imrul Kayes,345,2242,68.6,4
DR Martyn,540,2239,75.39,5
M du Preez,471,2223,69.6,7
M Kapp,471,2195,85.31,8
Salman Butt,469,2186,74.56,5
Liton Das,336,2178,84.32,4
JO Holder,429,2144,88.19,5
SP Fleming,441,2133,70.26,5
HM Nicholls,437,2116,78.98,2
A Flintoff,509,2096,88.59,9
S Luus,471,2080,65.29,3
D Ramdin,426,2072,78.6,1
AE Jones,513,2071,83.51,4
CL White,539,2053,79.48,3
Soumya Sarkar,336,2044,95.29,5
ME Trescothick,518,1997,80.52,4
AT Carey,543,1978,87.64,2
MS Atapattu,509,1978,66.82,3
H Klaasen,469,1977,115.01,7
RL Haynes,527,1966,79.11,5
LMP Simmons,426,1958,71.43,2
Bismah Maroof,459,1938,63.27,2
Inzamam-ul-Haq,464,1916,77.2,3
E Lewis,429,1903,85.76,4
BC Lara,424,1878,76.5,1
AC Kerr,433,1854,74.97,3
DJG Sammy,427,1853,96.21,5
N Pooran,429,1829,95.61,1
KIC Asalanka,495,1810,86.6,3
P Nissanka,495,1810,84.11,2
Azhar Ali,468,1806,72.88,1
MS Wade,535,1792,80.5,3
M Labuschagne,543,1764,82.82,2
HH Pandya,572,1762,107.7,4
Yousuf Youhana,464,1740,78.8,4
Haris Sohail,468,1709,85.02,2
DN Wyatt,513,1680,90.76,4
DJS Dottin,428,1679,81.11,4
DJ Hussey,545,1672,87.45,1
SJ Taylor,507,1651,85.46,6
AT Rayudu,575,1637,76.39,3
KD Karthik,569,1624,71.38,1
DJ Mitchell,431,1616,96.59,0
N Dickwella,512,1604,91.24,1
Sidra Ameen,459,1595,63.04,5
MD Gunathilaka,507,1592,83.83,2
OA Shah,502,1579,80.44,2
NJ Astle,434,1571,75.6,5
T Bavuma,443,1548,87.26,2
J Charles,430,1544,83.91,3
UT Khawaja,542,1539,82.52,3
JDS Neesham,439,1508,98.05,1
CK Kapugedera,510,1505,69.77,1
MP Stoinis,543,1489,91.8,1
Yasir Hameed,464,1459,65.57,4
NE Bolton,516,1443,69.74,6
CL Tryon,464,1440,107.14,4
PG Raut,578,1436,61.11,3
WA Young,416,1426,86.16,5
DJ Malan,519,1418,94.28,4
Nasir Jamshed,466,1418,73.43,3
T Chetty,471,1414,68.51,3
SO Hetmyer,429,1410,105.62,4
Javeria Khan,463,1408,61.51,2
ML Green,433,1407,67.71,3
WIA Fernando,511,1404,84.94,6
L Ronchi,439,1397,112.57,1
MP Vaughan,509,1382,65.25,2
JR Hopes,545,1326,92.34,2
Anamul Haque,342,1322,74.06,2
KM Jadhav,576,1318,100.84,3
M Kaif,570,1314,63.72,1
Asad Shafiq,460,1312,66.06,0
BA King,430,1306,82.87,4
Mashrafe Mortaza,343,1304,81.04,9
HH Dippenaar,445,1283,67.42,7
LPC Silva,496,1279,70.86,1
Fargana Hoque,333,1275,49.4,1
DR Smith,426,1261,88.18,3
Sabbir Rahman,335,1259,90.25,0
C Munro,439,1249,103.48,0
JD Ryder,435,1242,95.98,3
RR Rossouw,451,1239,92.39,1
Imran Farhat,467,1232,64.54,1
MJ Prior,503,1229,74.39,1
DP Conway,431,1226,86.95,3
IK Pathan,563,1226,79.2,5
PG Fulton,443,1216,70.45,3
Shahriar Nafees,345,1216,66.92,3
Aliya Riaz,463,1207,63.66,1
RS Morton,408,1205,64.37,2
Mehedi Hasan Miraz,336,1188,78.36,5
Raqibul Hasan,337,1177,61.62,0
A Gardner,527,1175,100.6,4
Nida Dar,463,1171,65.64,2
SA Campbelle,420,1167,59.91,1
Nazmul Hossain Shanto,329,1165,79.96,2
KJ Martin,426,1161,75.59,1
MD Shanaka,498,1153,87.55,1
Nahida Khan,456,1121,63.69,0
L Vincent,434,1089,68.36,4
F Behardien,463,1074,96.41,1
S Samarawickrama,495,1073,90.62,2
WW Hinds,424,1066,65.56,1
Aftab Ahmed,344,1061,73.12,2
CM Edwards,507,1054,71.99,4
JI Rodrigues,578,1051,80.91,2
FDM Karunaratne,511,1044,76.6,1
SM Katich,537,1041,68.62,0
RP Arnold,509,1039,69.68,0
AD Russell,426,1034,128.45,5
KU Carty,430,1000,75.93,0
C Kieswetter,517,985,87.17,1
DS Smith,414,973,70.56,1
JN Malan,458,958,81.39,2
AJ Blackwell,516,953,75.76,2
Muneeba Ali,463,948,58.92,0
JM How,444,939,64.8,3
Imad Wasim,462,937,108.95,0
MG Johnson,545,934,93.21,6
RV Uthappa,573,934,87.29,0
KOA Powell,427,934,78.42,0
RR Hendricks,472,930,76.8,2
Nigar Sultana,333,927,48.82,2
