player_name,total_matches_played,matches_won,total_runs,Strike_Rate,Win_Percentage
S Khiaoto,3,3,18,75.0,100.0
OO Bascome,1,1,17,36.17,100.0
Ansh Tandon,1,1,10,55.56,100.0
CR Foggo,1,1,6,120.0,100.0
GH O'Brien,1,1,2,33.33,100.0
N Chantam,9,8,473,68.65,88.88888888888889
N Chaiwai,9,8,244,61.31,88.88888888888889
R Kanoh,9,8,100,67.11,88.88888888888889
S Tippoch,9,8,89,39.38,88.88888888888889
C Sutthiruang,9,8,73,54.89,88.88888888888889
N Boochatham,9,8,64,41.83,88.88888888888889
S Laomi,9,8,61,54.95,88.88888888888889
P Maya,9,8,53,50.48,88.88888888888889
O Kamchomphu,9,8,35,57.38,88.88888888888889
T Putthawong,9,8,31,24.8,88.88888888888889
B Leephatthana,9,8,30,45.45,88.88888888888889
N Koncharoenkai,8,7,120,78.43,87.5
Kaynat Hafeez,5,4,4,66.67,80.0
Syeda Aroob Shah,5,4,0,0.0,80.0
SD Heazlett,260,191,4,36.36,73.46153846153847
R Slater,15,11,9,90.0,73.33333333333333
GA Manou,135,98,7,116.67,72.5925925925926
G Voll,359,260,173,105.49,72.42339832869081
BR McDermott,341,246,223,79.64,72.14076246334311
JR Philippe,341,246,65,71.43,72.14076246334311
WA Agar,341,246,50,116.28,72.14076246334311
HWR Cartwright,376,270,2,8.7,71.80851063829788
CA Lynn,379,272,75,81.52,71.76781002638522
MJ North,392,280,6,31.58,71.42857142857143
AJ Turner,413,294,192,116.36,71.1864406779661
S Nitschke,416,296,81,96.43,71.15384615384616
LK Ebsary,416,296,23,95.83,71.15384615384616
SJ Andrews,416,296,16,44.44,71.15384615384616
KL Rolton,416,296,2,16.67,71.15384615384616
MJ Bulow,409,291,50,67.57,71.14914425427872
SJ Elliott,409,291,8,50.0,71.14914425427872
KA Blackwell,409,291,3,27.27,71.14914425427872
L Cheatle,428,303,13,100.0,70.79439252336448
MJ Cosgrove,473,332,78,96.3,70.19027484143763
SPD Smith,543,381,5549,85.38,70.1657458563536
MR Marsh,543,381,2762,93.53,70.1657458563536
TM Head,543,381,2645,102.2,70.1657458563536
AT Carey,543,381,1978,87.64,70.1657458563536
M Labuschagne,543,381,1764,82.82,70.1657458563536
MP Stoinis,543,381,1489,91.8,70.1657458563536
UT Khawaja,542,380,1539,82.52,70.11070110701107
PSP Handscomb,542,380,632,96.34,70.11070110701107
JP Behrendorff,474,332,21,91.3,70.042194092827
CJ Ferguson,494,346,663,83.4,70.04048582995951
SR Watson,544,381,5357,90.05,70.03676470588235
AJ Finch,544,381,5188,84.56,70.03676470588235
GJ Maxwell,544,381,3655,120.59,70.03676470588235
GJ Bailey,544,381,3011,82.0,70.03676470588235
PJ Hughes,544,381,826,73.88,70.03676470588235
AC Voges,544,381,798,83.47,70.03676470588235
JE Cameron,497,348,452,75.21,70.02012072434607
SM Katich,537,376,1041,68.62,70.01862197392924
ML Hayden,540,378,3939,79.48,70.0
DR Martyn,540,378,2239,75.39,70.0
MG Bevan,540,378,755,64.15,70.0
JP Maher,540,378,122,65.24,70.0
DO Leicher,10,7,32,103.23,70.0
RM Patidar,30,21,22,122.22,70.0
GM Harris,450,315,13,59.09,70.0
CL White,539,377,2053,79.48,69.9443413729128
MJ Clarke,545,381,6988,76.83,69.90825688073394
RT Ponting,545,381,6979,80.61,69.90825688073394
DA Warner,545,381,6623,94.97,69.90825688073394
MEK Hussey,545,381,5076,84.43,69.90825688073394
BJ Haddin,545,381,3003,82.32,69.90825688073394
SE Marsh,545,381,2622,79.02,69.90825688073394
DJ Hussey,545,381,1672,87.45,69.90825688073394
