player_name,matches_played_as_batter,total_runs,Strike_Rate
V Kohli,579,13784,91.7
KC Sangakkara,510,11618,79.39
RG Sharma,577,10646,90.36
MS Dhoni,575,10274,84.98
AB de Villiers,466,9435,99.44
TM Dilshan,510,9212,85.48
LRPL Taylor,444,8126,80.94
DPMD Jayawardene,510,8040,78.58
HM Amla,470,7834,86.49
Tamim Iqbal,345,7648,76.64
MJ Guptill,444,7125,85.25
Mushfiqur Rahim,345,7094,78.95
MJ Clarke,545,6988,76.83
RT Ponting,545,6979,80.61
EJG Morgan,517,6953,89.52
Yuvraj Singh,579,6868,85.45
S Dhawan,577,6733,89.49
Q de Kock,470,6661,94.83
DA Warner,545,6623,94.97
WU Tharanga,512,6482,73.28
CH Gayle,427,6433,86.53
SR Tendulkar,574,6432,84.55
Mohammad Hafeez,468,6351,76.09
V Sehwag,574,5692,101.93
Babar Azam,462,5659,86.89
AD Mathews,512,5646,81.42
SK Raina,579,5585,90.86
SPD Smith,543,5549,85.38
F du Plessis,470,5445,86.59
SR Watson,544,5357,90.05
IR Bell,518,5289,75.59
AJ Finch,544,5188,84.56
BB McCullum,443,5157,94.5
BRM Taylor,277,5130,74.04
Mahmudullah,345,5127,75.45
MEK Hussey,545,5076,84.43
JC Buttler,519,5018,114.83
SD Hope,430,4989,78.15
G Gambhir,579,4981,83.95
JP Duminy,470,4928,82.33
Younis Khan,469,4777,74.51
Misbah-ul-Haq,469,4752,72.56
DA Miller,470,4466,100.56
ST Jayasuriya,510,4402,92.13
AC Gilchrist,538,4355,102.23
JJ Roy,519,4237,102.94
MN Samuels,426,4205,74.37
KP Pietersen,518,4202,84.21
PD Collingwood,518,4132,75.17
TWM Latham,439,4019,83.4
L Wolvaardt,471,3992,71.21
H Masakadza,277,3955,70.05
ML Hayden,540,3939,79.48
TT Beaumont,513,3936,74.66
BKG Mendis,512,3838,85.01
S Chanderpaul,424,3804,67.87
HH Gibbs,466,3766,84.93
AJ Strauss,518,3729,78.8
RR Sarwan,427,3717,72.27
JM Bairstow,516,3671,99.7
LD Chandimal,508,3657,72.1
GJ Maxwell,544,3655,120.59
R Dravid,573,3650,71.11
MM Lanning,527,3555,89.21
S Mandhana,578,3526,88.0
Fakhar Zaman,461,3434,92.29
EA Perry,533,3356,78.23
E Chigumbura,277,3266,77.12
SW Bates,433,3245,75.85
AN Cook,517,3204,75.6
HDRL Thirimanne,506,3164,71.2
HC Knight,507,3158,75.1
MDKJ Perera,512,3077,91.17
Umar Akmal,467,3032,83.62
GJ Bailey,544,3011,82.0
DM Bravo,427,3007,67.2
BJ Haddin,545,3003,82.32
M Raj,564,2949,68.26
AM Rahane,571,2906,76.23
AE Satterthwaite,433,2895,80.02
Imam-ul-Haq,451,2840,81.33
T Taibu,275,2837,66.96
IJL Trott,505,2819,75.54
SFM Devine,433,2796,87.54
Mohammad Yousuf,458,2783,74.39
CR Ervine,277,2770,76.29
MR Marsh,543,2762,93.53
KL Rahul,580,2761,86.36
DJ Bravo,427,2760,78.72
AC Jayangani,497,2760,77.99
AJ Healy,533,2759,95.24
Kamran Akmal,469,2746,81.39
RS Bopara,509,2689,76.39
TM Head,543,2645,102.2
SE Marsh,545,2622,79.02
MV Boucher,466,2617,88.38
KA Pollard,429,2608,90.65
Ahmed Shehzad,466,2555,70.52
L Lee,471,2516,82.65
BL Mooney,533,2433,84.71
SC Ganguly,573,2409,70.25
SS Iyer,576,2396,98.04
HE van der Dussen,472,2388,85.1
AD Hales,515,2330,93.84
Shubman Gill,560,2328,99.02
Abdul Razzaq,464,2327,86.54
HK Matthews,428,2327,75.16
Sarfraz Ahmed,467,2289,85.63
MM Ali,519,2278,94.21
Mohammad Rizwan,462,2254,87.36
Imrul Kayes,345,2242,68.6
DR Martyn,540,2239,75.39
M du Preez,471,2223,69.6
M Kapp,471,2195,85.31
Salman Butt,469,2186,74.56
Liton Das,336,2178,84.32
JO Holder,429,2144,88.19
SP Fleming,441,2133,70.26
V Sibanda,276,2125,61.29
HM Nicholls,437,2116,78.98
A Flintoff,509,2096,88.59
S Luus,471,2080,65.29
D Ramdin,426,2072,78.6
AE Jones,513,2071,83.51
CL White,539,2053,79.48
