player_name,total_overs_bowled,total_wickets_taken,total_runs_conceded,Wickets_Per_Over,Runs_Conceded_Per_Wicket
Mohammad Yousuf,1,1,0,1.0,0.0
SIR Dunkley,4,1,1,0.25,1.0
DC Thomas,9,2,11,0.222,5.5
RK Singh,6,1,2,0.167,2.0
HE van der Dussen,6,1,3,0.167,3.0
SD Outerbridge,6,1,11,0.167,11.0
K Sonavale,15,2,4,0.133,2.0
JI Rodrigues,39,5,13,0.128,2.6
K Kamyuka,47,5,48,0.106,9.6
J Logtenberg,36,3,18,0.083,6.0
RL Haynes,24,2,34,0.083,17.0
TH David,12,1,20,0.083,20.0
Sufiyan Muqeem,49,4,53,0.082,13.25
DSK Madushanka,39,3,26,0.077,8.67
DJ Malan,15,1,17,0.067,17.0
NE Bolton,30,2,37,0.067,18.5
S Horley,136,9,80,0.066,8.89
IR Bell,92,6,89,0.065,14.83
KD Shah,110,7,79,0.064,11.29
C Viljoen,32,2,14,0.062,7.0
KR Sen,33,2,37,0.061,18.5
SC Kuggeleijn,87,5,62,0.057,12.4
CD de Lange,264,15,211,0.057,14.07
M du Preez,18,1,22,0.056,22.0
L Vincent,18,1,22,0.056,22.0
JL Ontong,18,1,24,0.056,24.0
S Laomi,295,16,176,0.054,11.0
S Sriram,56,3,43,0.054,14.33
MK Villiers,93,5,83,0.054,16.6
P Molkenboer,19,1,10,0.053,10.0
G Singh,113,6,97,0.053,16.17
G Malla,19,1,18,0.053,18.0
JA Clarkson,75,4,73,0.053,18.25
AH Maqsood,383,20,257,0.052,12.85
HRA Rainey,172,9,145,0.052,16.11
RTM Mendis,77,4,74,0.052,18.5
GH O'Brien,62,3,32,0.048,10.67
DM Kimmince,146,7,96,0.048,13.71
K Klein,351,17,266,0.048,15.65
TJ Heggelman,42,2,34,0.048,17.0
RD Chahar,62,3,58,0.048,19.33
RJ Trott,193,9,158,0.047,17.56
GT Main,695,33,609,0.047,18.45
OC McCoy,87,4,110,0.046,27.5
A Patel,66,3,73,0.045,24.33
BJ Currie,411,18,266,0.044,14.78
T Ruma,45,2,30,0.044,15.0
AS van Beuge,183,8,159,0.044,19.88
O Kamchomphu,349,15,162,0.043,10.8
S Tippoch,211,9,100,0.043,11.11
S Jimmy,394,17,230,0.043,13.53
Pargat Singh,116,5,84,0.043,16.8
Z James,304,13,235,0.043,18.08
Shaiman Anwar,117,5,136,0.043,27.2
SJ Tsukigawa,48,2,20,0.042,10.0
Shakeel Ahmed,402,17,193,0.042,11.35
Saeed Anwar,24,1,15,0.042,15.0
S Dhaniram,552,23,408,0.042,17.74
STR Binny,503,21,440,0.042,20.95
Ebadat Hossain,505,21,453,0.042,21.57
RR Sarwan,383,16,393,0.042,24.56
CM Edwards,48,2,51,0.042,25.5
A Balbirnie,24,1,31,0.042,31.0
S Mandhana,24,1,36,0.042,36.0
S Lamichhane,2942,120,2185,0.041,18.21
J Sumerauer,246,10,213,0.041,21.3
DJ Mitchell,315,13,293,0.041,22.54
JN Loftie-Eaton,542,22,498,0.041,22.64
SSB Magala,362,15,384,0.041,25.6
SA Fritz,125,5,38,0.04,7.6
IJR Zwilling,722,29,415,0.04,14.31
P Maya,226,9,165,0.04,18.33
Z Groenewald,151,6,110,0.04,18.33
DS Bajwa,25,1,27,0.04,27.0
AA Paradkar,224,9,245,0.04,27.22
T Putthawong,462,18,230,0.039,12.78
C Sakariya,51,2,34,0.039,17.0
OEG Baartman,154,6,103,0.039,17.17
HHC Gunaratne,205,8,169,0.039,21.12
Imran Farhat,51,2,44,0.039,22.0
Mohammad Wasim,927,36,858,0.039,23.83
DLS van Bunge,154,6,181,0.039,30.17
S Molineux,613,23,339,0.038,14.74
A Ndiraya,26,1,16,0.038,16.0
J Overton,26,1,17,0.038,17.0
JL Jonassen,3541,136,2375,0.038,17.46
W Sutherland,53,2,35,0.038,17.5
Tareq Aziz,53,2,35,0.038,17.5
Wasim Akram,314,12,216,0.038,18.0
SK Dolawatte,78,3,56,0.038,18.67
A Athanaze,26,1,19,0.038,19.0
MMA Jonkman,26,1,21,0.038,21.0
Akhil Kumar,106,4,84,0.038,21.0
Arshdeep Singh,365,14,296,0.038,21.14
Mominul Haque,157,6,137,0.038,22.83
Khaled Ahmed,80,3,72,0.038,24.0
AJ Tye,400,15,396,0.038,26.4
LC Romero,26,1,52,0.038,52.0
K Fraser,245,9,145,0.037,16.11
S Bhari,402,15,246,0.037,16.4
P Siaka,136,5,83,0.037,16.6
BJ McMullen,1048,39,724,0.037,18.56
TBM de Leede,484,18,413,0.037,22.94
M Prasidh Krishna,819,30,756,0.037,25.2
Haris Rauf,2113,79,2029,0.037,25.68
Waqar Younis,189,7,181,0.037,25.86
Soumya Sarkar,543,20,545,0.037,27.25
NA de Groot,81,3,88,0.037,29.33
MK Tiwary,136,5,150,0.037,30.0
