player_name,total_matches_played,matches_won,total_runs,player_of_match_awards,POTM_Rate
V Kohli,579,360,13784,41,7.08
AB de Villiers,466,286,9435,26,5.58
KC Sangakkara,510,237,11618,26,5.1
TM Dilshan,510,237,9212,24,4.71
RG Sharma,577,358,10646,23,3.99
MJ Guptill,444,231,7125,22,4.95
MS Dhoni,575,356,10274,20,3.48
Yuvraj Singh,579,360,6868,20,3.45
Mohammad Hafeez,468,227,6351,19,4.06
Q de Kock,470,290,6661,19,4.04
RT Ponting,545,381,6979,17,3.12
LRPL Taylor,444,231,8126,16,3.6
HM Amla,470,290,7834,16,3.4
EA Perry,533,372,3356,16,3.0
DA Warner,545,381,6623,16,2.94
SR Tendulkar,574,356,6432,16,2.79
SR Watson,544,381,5357,15,2.76
V Sehwag,574,356,5692,15,2.61
ST Jayasuriya,510,237,4402,14,2.75
Tamim Iqbal,345,134,7648,13,3.77
CH Gayle,427,165,6433,13,3.04
Babar Azam,462,223,5659,13,2.81
JC Buttler,519,295,5018,13,2.5
AC Gilchrist,538,376,4355,13,2.42
MN Samuels,426,165,4205,12,2.82
DPMD Jayawardene,510,237,8040,12,2.35
EJG Morgan,517,295,6953,12,2.32
JJ Roy,519,295,4237,12,2.31
WU Tharanga,512,237,6482,11,2.15
JM Bairstow,516,294,3671,11,2.13
MM Lanning,527,367,3555,11,2.09
SPD Smith,543,381,5549,11,2.03
MEK Hussey,545,381,5076,11,2.02
GJ Maxwell,544,381,3655,11,2.02
S Dhawan,577,358,6733,11,1.91
SK Raina,579,360,5585,11,1.9
G Gambhir,579,360,4981,11,1.9
S Mandhana,578,359,3526,11,1.9
HK Matthews,428,165,2327,10,2.34
Younis Khan,469,227,4777,10,2.13
TT Beaumont,513,292,3936,10,1.95
PD Collingwood,518,295,4132,10,1.93
MJ Clarke,545,381,6988,10,1.83
Mashrafe Mortaza,343,134,1304,9,2.62
Mushfiqur Rahim,345,134,7094,9,2.61
DJ Bravo,427,165,2760,9,2.11
SD Hope,430,166,4989,9,2.09
Fakhar Zaman,461,222,3434,9,1.95
Abdul Razzaq,464,224,2327,9,1.94
HH Gibbs,466,286,3766,9,1.93
F du Plessis,470,290,5445,9,1.91
A Flintoff,509,291,2096,9,1.77
AD Mathews,512,237,5646,9,1.76
IR Bell,518,295,5289,9,1.74
KP Pietersen,518,295,4202,9,1.74
SFM Devine,433,225,2796,8,1.85
TWM Latham,439,228,4019,8,1.82
M Kapp,471,290,2195,8,1.7
AC Jayangani,497,231,2760,8,1.61
HC Knight,507,291,3158,8,1.58
AJ Healy,533,372,2759,8,1.5
MR Marsh,543,381,2762,8,1.47
PR Stirling,164,60,3338,7,4.27
S Chanderpaul,424,164,3804,7,1.65
HH Dippenaar,445,272,1283,7,1.57
JP Duminy,470,290,4928,7,1.49
Misbah-ul-Haq,469,227,4752,7,1.49
M du Preez,471,290,2223,7,1.49
H Klaasen,469,289,1977,7,1.49
S Ismail,471,290,273,7,1.49
SL Malinga,511,237,508,7,1.37
AJ Strauss,518,295,3729,7,1.35
AN Cook,517,295,3204,7,1.35
AJ Finch,544,381,5188,7,1.29
TM Head,543,381,2645,7,1.29
MD Patel,64,30,1792,6,9.38
E Chigumbura,277,66,3266,6,2.17
CR Ervine,277,66,2770,6,2.17
RR Sarwan,427,165,3717,6,1.41
SP Narine,427,165,363,6,1.41
SW Bates,433,225,3245,6,1.39
MJ Henry,437,227,268,6,1.37
Ahmed Shehzad,466,225,2555,6,1.29
Umar Akmal,467,226,3032,6,1.28
DW Steyn,469,289,365,6,1.28
L Wolvaardt,471,290,3992,6,1.27
L Lee,471,290,2516,6,1.27
LD Chandimal,508,236,3657,6,1.18
SJ Taylor,507,291,1651,6,1.18
MF Maharoof,510,237,799,6,1.18
BKG Mendis,512,237,3838,6,1.17
WIA Fernando,511,237,1404,6,1.17
NE Bolton,516,360,1443,6,1.16
MG Johnson,545,381,934,6,1.1
M Raj,564,349,2949,6,1.06
MG Erasmus,55,26,1810,5,9.09
RK Paudel,65,33,1629,5,7.69
Aasif Sheikh,65,33,1423,5,7.69
CS MacLeod,101,54,2015,5,4.95
WTS Porterfield,164,60,2670,5,3.05
EC Joyce,164,60,1845,5,3.05
Soumya Sarkar,336,132,2044,5,1.49
Mehedi Hasan Miraz,336,132,1188,5,1.49
WA Young,416,219,1426,5,1.2
JO Holder,429,165,2144,5,1.17
DJG Sammy,427,165,1853,5,1.17
AD Russell,426,165,1034,5,1.17
AE Satterthwaite,433,225,2895,5,1.15
NJ Astle,434,225,1571,5,1.15
BB McCullum,443,231,5157,5,1.13
SP Fleming,441,229,2133,5,1.13
Sidra Ameen,459,221,1595,5,1.09
Sarfraz Ahmed,467,226,2289,5,1.07
Salman Butt,469,227,2186,5,1.07
MDKJ Perera,512,237,3077,5,0.98
RS Bopara,509,291,2689,5,0.98
AD Hales,515,294,2330,5,0.97
MM Ali,519,295,2278,5,0.96
RL Haynes,527,367,1966,5,0.95
ML Hayden,540,378,3939,5,0.93
DR Martyn,540,378,2239,5,0.93
IK Pathan,563,348,1226,5,0.89
AM Rahane,571,354,2906,5,0.88
R Dravid,573,356,3650,5,0.87
SC Ganguly,573,356,2409,5,0.87
Kuldeep Yadav,580,360,195,5,0.86
H Thaker,51,18,612,4,7.84
M van Lingen,55,26,1300,4,7.27
Karan KC,65,33,457,4,6.15
S Lamichhane,65,33,440,4,6.15
MP O'Dowd,90,29,1682,4,4.44
Rohan Mustafa,99,34,1401,4,4.04
Asif Khan,99,34,1155,4,4.04
RD Berrington,101,54,2292,4,3.96
A Balbirnie,163,59,2438,4,2.45
KJ O'Brien,164,60,1990,4,2.44
BRM Taylor,277,66,5130,4,1.44
Liton Das,336,132,2178,4,1.19
Mahmudullah,345,134,5127,4,1.16
Imrul Kayes,345,134,2242,4,1.16
KA Pollard,429,165,2608,4,0.93
E Lewis,429,165,1903,4,0.93
