team,Total_Runs,Total_Wickets,Total_Matches_Won,Total_POTM_Awards
India,123473,1866,35019,277
Australia,115980,1644,33312,256
Sri Lanka,97634,1751,23408,183
England,93969,1151,29021,195
South Africa,87560,1818,23717,206
Pakistan,82673,965,21863,143
West Indies,79325,1999,17189,149
New Zealand,68366,904,18139,130
Bangladesh,49205,746,8636,78
Zimbabwe,37423,565,4793,40
Ireland,25869,420,3058,36
Scotland,19467,504,3034,38
United Arab Emirates,15914,409,1353,24
Netherlands,13730,315,1519,17
Nepal,12132,489,787,33
Papua New Guinea,10318,370,352,12
Namibia,9738,320,710,21
Canada,8173,205,754,17
United States of America,7423,63,1056,15
Oman,5121,36,462,9
Kenya,4980,131,232,6
Hong Kong,2373,10,63,5
Thailand,1391,84,98,5
Jersey,887,27,11,1
Bermuda,739,20,31,0
