team,Total_Runs,Average_Strike_Rate,Total_balls_faced,No_Of_Players
India,123473,70.41,146356,119
Australia,115980,80.51,136504,97
Sri Lanka,97634,63.82,127416,113
England,93969,81.41,112955,107
South Africa,87560,72.69,105009,92
Pakistan,82673,70.23,110265,109
West Indies,79325,63.33,105840,117
New Zealand,68366,69.81,84864,90
Bangladesh,49205,55.5,68738,83
Zimbabwe,37423,60.69,54971,80
Ireland,25869,56.33,35536,64
Scotland,19467,67.71,25672,66
United Arab Emirates,15914,58.64,22996,48
Netherlands,13730,55.25,19995,65
Nepal,12132,60.18,17039,27
Papua New Guinea,10318,54.61,16216,34
Namibia,9738,63.27,13368,29
Canada,8173,61.22,12295,60
United States of America,7423,54.89,10377,43
Oman,5121,58.51,7076,19
Kenya,4980,57.83,8143,19
Hong Kong,2373,49.46,3319,17
Thailand,1391,55.36,2393,13
Jersey,887,66.39,1171,11
Bermuda,739,54.15,1466,18
