team,Total_Wickets,Total_Overs_Bowled,Total_Runs_Conceded,Wickets_Per_Over,Runs_Per_Wicket
Thailand,84,2157,1152,0.039,13.71
Hong Kong,10,287,267,0.035,26.7
Bermuda,20,623,518,0.032,25.9
Oman,36,1163,812,0.031,22.56
Nepal,489,15941,12260,0.031,25.07
Namibia,320,11128,8090,0.029,25.28
Scotland,504,17122,13561,0.029,26.91
South Africa,1818,63750,50511,0.029,27.78
Australia,1644,58215,47711,0.028,29.02
New Zealand,904,32328,26430,0.028,29.24
Canada,205,7620,5982,0.027,29.18
United Arab Emirates,409,15359,12418,0.027,30.36
Netherlands,315,11514,9823,0.027,31.18
India,1866,68991,59961,0.027,32.13
Kenya,131,5029,4004,0.026,30.56
West Indies,1999,76244,63290,0.026,31.66
Sri Lanka,1751,68611,56738,0.026,32.4
Jersey,27,1040,929,0.026,34.41
Papua New Guinea,370,14730,11299,0.025,30.54
England,1151,45854,37746,0.025,32.79
Ireland,420,16917,14261,0.025,33.95
Bangladesh,746,30120,25879,0.025,34.69
Pakistan,965,41363,33866,0.023,35.09
United States of America,63,2725,2222,0.023,35.27
Zimbabwe,565,25290,22175,0.022,39.25
