player_name,total_runs,strike_rate,total_wickets_taken,player_of_match_awards,Performance_Score,Player_Rank
V Kohli,13784,91.70381212,7,41,18941.0381212,1
KC Sangakkara,11618,79.39046057,0,26,15011.9046057,2
TM Dilshan,9212,85.47833349,97,24,14406.7833349,3
RG Sharma,10646,90.35817348,11,23,14069.5817348,4
AB de Villiers,9435,99.44139966,7,26,13169.4139966,5
MS Dhoni,10274,84.97932175,1,20,13143.7932175,6
Mohammad Hafeez,6351,76.08721696,142,19,11851.8721696,7
Yuvraj Singh,6868,85.45477168,99,20,11702.5477168,8
SR Watson,5357,90.04874769,162,15,10997.4874769,9
CH Gayle,6433,86.53483992,112,13,10838.3483992,10
LRPL Taylor,8126,80.93625498,0,16,10535.3625498,11
HM Amla,7834,86.48708324,0,16,10298.8708324,12
MJ Guptill,7125,85.24766691,4,22,10257.4766691,13
AD Mathews,5646,81.42486299,137,9,10100.248629900001,14
DPMD Jayawardene,8040,78.57701329,2,12,10065.7701329,15
MJ Clarke,6988,76.83342496,56,10,9876.3342496,16
Tamim Iqbal,7648,76.64094599,0,13,9714.4094599,17
Q de Kock,6661,94.83200456,0,19,9509.3200456,18
SR Tendulkar,6432,84.55370054,31,16,9497.5370054,19
RT Ponting,6979,80.60753061,0,17,9485.0753061,20
V Sehwag,5692,101.9340974,58,15,9371.340973999999,21
DA Warner,6623,94.96702036,0,16,9172.670203599999,22
EJG Morgan,6953,89.5197631,0,12,9048.197631,23
ST Jayasuriya,4402,92.13059858,105,14,8823.3059858,24
SL Malinga,508,72.467903,343,7,8792.67903,25
Mushfiqur Rahim,7094,78.9450256,0,9,8783.450256,26
S Dhawan,6733,89.48697501,0,11,8727.869750099999,27
SK Raina,5585,90.85732878,42,11,8433.5732878,28
WU Tharanga,6482,73.28434144,0,11,8314.8434144,29
DJ Bravo,2760,78.72219053,193,9,8307.2219053,30
SPD Smith,5549,85.38236652,29,11,8082.8236652,31
Mahmudullah,5127,75.45253863,83,4,7941.5253863,32
JP Duminy,4928,82.32542599,74,7,7931.2542599,33
Babar Azam,5659,86.88776294,0,13,7827.8776294,34
PD Collingwood,4132,75.1682736,96,10,7803.682736,35
Mashrafe Mortaza,1304,81.04412679,227,9,7554.4412679,36
GJ Maxwell,3655,120.5872649,78,11,7520.872649,37
MN Samuels,4205,74.37212593,66,12,7468.7212593,38
JC Buttler,5018,114.8283753,0,13,7466.283753,39
EA Perry,3356,78.22843823,83,16,7398.2843823,40
MG Johnson,934,93.21357285,243,6,7326.1357284999995,41
F du Plessis,5445,86.59351145,2,9,7250.9351145,42
MEK Hussey,5076,84.43113772,4,11,7100.3113772,43
IR Bell,5289,75.58953837,6,9,7064.8953837,44
G Gambhir,4981,83.95415473,0,11,6920.5415473,45
AJ Finch,5188,84.56397718,5,7,6833.6397718,46
JO Holder,2144,88.19415878,162,5,6765.9415878,47
AC Gilchrist,4355,102.2300469,0,13,6677.300469,48
SD Hope,4989,78.14849624,0,9,6670.4849624,49
BB McCullum,5157,94.50247389,0,5,6602.0247389,50
Younis Khan,4777,74.51255654,1,10,6542.1255654,51
