player_name,role,team,total_runs,Strike_Rate,total_wickets_taken,total_matches_played,player_of_match_awards,matches_won,Win_Percentage
V Kohli,Batter,India,13784,91.7,7,579,41,360,62.18
RG Sharma,Batter,India,10646,90.36,11,577,23,358,62.05
MS Dhoni,Batter,India,10274,84.98,1,575,20,356,61.91
AB de Villiers,Batter,South Africa,9435,99.44,7,466,26,286,61.37
TM Dilshan,Batter,Sri Lanka,9212,85.48,97,510,24,237,46.47
LRPL Taylor,Batter,New Zealand,8126,80.94,0,444,16,231,52.03
HM Amla,Batter,South Africa,7834,86.49,0,470,16,290,61.7
MJ Guptill,Batter,New Zealand,7125,85.25,4,444,22,231,52.03
RT Ponting,Batter,Australia,6979,80.61,0,545,17,381,69.91
EJG Morgan,Batter,England,6953,89.52,0,517,12,295,57.06
Yuvraj Singh,Batter,India,6868,85.45,99,579,20,360,62.18
S Dhawan,Batter,India,6733,89.49,0,577,11,358,62.05
Q de Kock,Batter,South Africa,6661,94.83,0,470,19,290,61.7
DA Warner,Batter,Australia,6623,94.97,0,545,16,381,69.91
CH Gayle,Batter,West Indies,6433,86.53,112,427,13,165,38.64
SR Tendulkar,Batter,India,6432,84.55,31,574,16,356,62.02
V Sehwag,Batter,India,5692,101.93,58,574,15,356,62.02
Babar Azam,Batter,Pakistan,5659,86.89,0,462,13,223,48.27
AD Mathews,Batter,Sri Lanka,5646,81.42,137,512,9,237,46.29
SK Raina,Batter,India,5585,90.86,42,579,11,360,62.18
SPD Smith,Batter,Australia,5549,85.38,29,543,11,381,70.17
F du Plessis,Batter,South Africa,5445,86.59,2,470,9,290,61.7
SR Watson,Batter,Australia,5357,90.05,162,544,15,381,70.04
AJ Finch,Batter,Australia,5188,84.56,5,544,7,381,70.04
BB McCullum,Batter,New Zealand,5157,94.5,0,443,5,231,52.14
MEK Hussey,Batter,Australia,5076,84.43,4,545,11,381,69.91
JC Buttler,Batter,England,5018,114.83,0,519,13,295,56.84
G Gambhir,Batter,India,4981,83.95,0,579,11,360,62.18
JP Duminy,Batter,South Africa,4928,82.33,74,470,7,290,61.7
ST Jayasuriya,Batter,Sri Lanka,4402,92.13,105,510,14,237,46.47
AC Gilchrist,Batter,Australia,4355,102.23,0,538,13,376,69.89
JJ Roy,Batter,England,4237,102.94,0,519,12,295,56.84
KP Pietersen,Batter,England,4202,84.21,8,518,9,295,56.95
TWM Latham,Batter,New Zealand,4019,83.4,0,439,8,228,51.94
BKG Mendis,Batter,Sri Lanka,3838,85.01,0,512,6,237,46.29
HH Gibbs,Batter,South Africa,3766,84.93,0,466,9,286,61.37
JM Bairstow,Batter,England,3671,99.7,0,516,11,294,56.98
GJ Maxwell,Batter,Australia,3655,120.59,78,544,11,381,70.04
MM Lanning,Batter,Australia,3555,89.21,1,527,11,367,69.64
S Mandhana,Batter,India,3526,88.0,1,578,11,359,62.11
Fakhar Zaman,Batter,Pakistan,3434,92.29,1,461,9,222,48.16
MDKJ Perera,Batter,Sri Lanka,3077,91.17,0,512,5,237,46.29
Umar Akmal,Batter,Pakistan,3032,83.62,0,467,6,226,48.39
