Phase,Query,Analysis,CSV_File,Rows,Note
1,1,Total Unique Players,P01_Q01_Total_Unique_Players.csv,1,
1,2,Total Matches Played,P01_Q02_Total_Matches_Played.csv,1,
1,3,Total Runs Scored,P01_Q03_Total_Runs_Scored.csv,1,
1,4,Average Runs Per Player,P01_Q04_Average_Runs_Per_Player.csv,1,SQL alias issue in source; exported intended AVG(total_runs).
1,5,Highest Run Scorer,P01_Q05_Highest_Run_Scorer.csv,1,
1,6,Overall Average Strike Rate,P01_Q06_Overall_Average_Strike_Rate.csv,1540,
1,7,Highest Strike Rate,P01_Q07_Highest_Strike_Rate.csv,1,
1,8,Total Wickets Taken,P01_Q08_Total_Wickets_Taken.csv,1,
1,9,Highest Wicket Taker,P01_Q09_Highest_Wicket_Taker.csv,1,
1,10,Total Matches Won,P01_Q10_Total_Matches_Won.csv,1,
1,11,Overall Win Rate,P01_Q11_Overall_Win_Rate.csv,1,
1,12,Total Player Of The Match Awards,P01_Q12_Total_Player_Of_The_Match_Awards.csv,1,
1,13,Highest Player Of The Match Awards,P01_Q13_Highest_Player_Of_The_Match_Awards.csv,1,
1,14,Average Matches Per Player,P01_Q14_Average_Matches_Per_Player.csv,1,
1,15,Overall Average Player Performance,P01_Q15_Overall_Average_Player_Performance.csv,1,
2,1,Player Role Distribution,P02_Q01_Player_Role_Distribution.csv,1,
2,2,Team Wise Player Distribution,P02_Q02_Team_Wise_Player_Distribution.csv,25,
2,3,Total Runs Distribution,P02_Q03_Total_Runs_Distribution.csv,4,"Matches source CASE expression, including its unreachable 5k-7.9K branch."
2,4,Strike Rate Distribution,P02_Q04_Strike_Rate_Distribution.csv,5,
2,5,Wicket Distribution,P02_Q05_Wicket_Distribution.csv,5,
2,6,Match Experience Distribution,P02_Q06_Match_Experience_Distribution.csv,4,
2,7,Player Of The Match Distribution,P02_Q07_Player_Of_The_Match_Distribution.csv,5,
2,8,Balls Faced Distribution,P02_Q08_Balls_Faced_Distribution.csv,5,
2,9,Overs Bowled Distribution,P02_Q09_Overs_Bowled_Distribution.csv,5,
2,10,Matches Won Distribution,P02_Q10_Matches_Won_Distribution.csv,4,
2,11,Matches Lost Distribution,P02_Q11_Matches_Lost_Distribution.csv,4,
2,12,Player Performance Average,P02_Q12_Player_Performance_Average.csv,1,
2,13,Runs Conceded Distribution,P02_Q13_Runs_Conceded_Distribution.csv,5,
2,14,Batting Participation,P02_Q14_Batting_Participation.csv,4,
2,15,Bowling Participation,P02_Q15_Bowling_Participation.csv,1,
3,1,Runs Vs Strike Rate,P03_Q01_Runs_Vs_Strike_Rate.csv,1540,
3,2,Runs Vs Balls Faced,P03_Q02_Runs_Vs_Balls_Faced.csv,1540,
3,3,Wickets Vs Overs Bowled,P03_Q03_Wickets_Vs_Overs_Bowled.csv,1540,
3,4,Wickets Vs Runs Conceded,P03_Q04_Wickets_Vs_Runs_Conceded.csv,1540,
3,5,Matches Played Vs Matches Won,P03_Q05_Matches_Played_Vs_Matches_Won.csv,1540,
3,6,Matches Played Vs Matches Lost,P03_Q06_Matches_Played_Vs_Matches_Lost.csv,1540,
3,7,Runs Vs Player Of The Match Awards,P03_Q07_Runs_Vs_Player_Of_The_Match_Awards.csv,1540,
3,8,Wickets Vs Player Of The Match Awards,P03_Q08_Wickets_Vs_Player_Of_The_Match_Awards.csv,1540,
3,9,Team Vs Average Performance,P03_Q09_Team_Vs_Average_Performance.csv,25,
3,10,Role Vs Average Strike Rate,P03_Q10_Role_Vs_Average_Strike_Rate.csv,1,"Matches source SQL, which averages the average column rather than strike_rate."
3,11,Team Vs Total Runs,P03_Q11_Team_Vs_Total_Runs.csv,25,
3,12,Team Vs Total Wickets,P03_Q12_Team_Vs_Total_Wickets.csv,25,
3,13,Role Vs Average Runs,P03_Q13_Role_Vs_Average_Runs.csv,1,
3,14,Team Vs Win Rate,P03_Q14_Team_Vs_Win_Rate.csv,25,
3,15,Strike Rate Vs Player Average,P03_Q15_Strike_Rate_Vs_Player_Average.csv,721,
4,1,Overall Player Performance,P04_Q01_Overall_Player_Performance.csv,1540,Source GROUP BY contains invalid aliases; exported intended player-level result.
4,2,Batting Performance Leaders,P04_Q02_Batting_Performance_Leaders.csv,1540,Source GROUP BY contains invalid aliases; exported intended player-level result.
4,3,Bowling Effectiveness,P04_Q03_Bowling_Effectiveness.csv,1540,
4,4,Player Impact Analysis,P04_Q04_Player_Impact_Analysis.csv,1540,
4,5,Experience Vs Performance,P04_Q05_Experience_Vs_Performance.csv,815,
4,6,Winning Contribution,P04_Q06_Winning_Contribution.csv,1540,
4,7,Batting Consistency,P04_Q07_Batting_Consistency.csv,948,
4,8,Bowling Workload Vs Output,P04_Q08_Bowling_Workload_Vs_Output.csv,1540,
4,9,All Round Performance,P04_Q09_All_Round_Performance.csv,0,
4,10,Match Impact Vs Experience,P04_Q10_Match_Impact_Vs_Experience.csv,1540,
4,11,Team Overall Performance,P04_Q11_Team_Overall_Performance.csv,25,
4,12,Team Batting Effectiveness,P04_Q12_Team_Batting_Effectiveness.csv,25,
4,13,Team Bowling Effectiveness,P04_Q13_Team_Bowling_Effectiveness.csv,25,
4,14,Player Performance Ranking,P04_Q14_Player_Performance_Ranking.csv,1540,
4,15,Elite Player Identification,P04_Q15_Elite_Player_Identification.csv,43,
